,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,1058655,N/D,OF-6,Assistant Chief of Staff Communications (J6),"Communication and Information Systems. Planning, directing, deploying, sustaining and recovery of J6 capabilities in support of CJO’s mission, ensuring output is operationally focussed and responsive.Introduction of DII(F) and (FD) across CJO TLB. Managing J6 manpower and delegated budget efficiently within agreed limits.",Ministry of Defence,Ministry of Defence,Joint Forces Command,01923 955 925,PJHQ-J9-FOI@mod.uk,1058619,0,1.0,0,0,0,,,1
1,70503,N/D,SCS1,DEFAC-CMT-ND HEAD,Head of the Nuclear Division within the College of Management and Technology,Ministry of Defence,Ministry of Defence,Joint Forces Command,01793 785426,DEFAC-HQCHFCLK@mod.uk,154906,0,1.0,0,0,0,,,1
2,94113,N/D,SCS1,Command Secretary British Forces Cyprus,Command Secretary British Forces Cyprus,Ministry of Defence,Ministry of Defence,Joint Forces Command,01923 955 925,PJHQ-J9-FOI@mod.uk,1058157,0,1.0,0,0,0,,,1
3,138151,N/D,SCS1,Attorney General Legal Adviser ,Reports to 1* Comd Sec Cyprus. Less than 5 in team so Salary Cost of Reports recorded under 1* Comd Sec Cyprus.,Ministry of Defence,Ministry of Defence,Joint Forces Command,01923 955 925,PJHQ-J9-FOI@mod.uk,94113,0,1.0,0,0,0,,,1
4,108528,N/D,SCS1,DEFAC-HQ-COS,"Leads the Defence Academy Headquarters, supports and deputises for the Head of the Defence Academy",Ministry of Defence,Ministry of Defence,Joint Forces Command,01793 785426,DEFAC-HQCHFCLK@mod.uk,1063013,0,1.0,0,0,0,,,1
5,109484,Mr J Jarvis,SCS2,DEFAC-RCDS-SDS 1,Royal College of Defence Studies - Director of Studies and a Senior Directing Staff ,Ministry of Defence,Ministry of Defence,Joint Forces Command,01793 785426,DEFAC-HQCHFCLK@mod.uk,116270,0,1.0,80000,84999,0,,,1
6,116270,Lt Gen (Ret'd) D Bill,SCS2,DEFAC-RCDS-COMMANDANT,Head of the Royal College of Defence Studies at the Defence Academy,Ministry of Defence,Ministry of Defence,Joint Forces Command,01794 785426,DEFAC-HQCHFCLK@mod.uk,1063013,0,1.0,90000,94999,0,,,1
7,154906,Maj Gen M Riddle-Webster,OF-7,DEFAC-CMT-HQ DIRECTOR,Head of the College of Management and Technology at the Defence Academy,Ministry of Defence,Ministry of Defence,Joint Forces Command,01793 785426,DEFAC-HQCHFCLK@mod.uk,1063013,0,1.0,110000,114999,0,,,1
8,197620,N/D,SCS1,DEFAC-HD INT ENGAGEMENT,Head of the International Section,Ministry of Defence,Ministry of Defence,Joint Forces Command,01793 785426,DEFAC-HQCHFCLK@mod.uk,1063013,0,1.0,0,0,0,,,1
9,1029456,N/D,OF-6,Commander British Forces South Atlantic Islands,Commander British Forces South Atlantic Islands,Ministry of Defence,Ministry of Defence,Joint Forces Command,01923 955 925,PJHQ-J9-FOI@mod.uk,1058619,0,1.0,0,0,0,,,1
