,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,2a,Anne-Marie Millar,SCS2,Finance Director,Responsible for Financial matters and Compliance auditing.,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Finance ,N/D,enquiries@defra.gsi.gov.uk,1a,145643.0,1.0,125000,129999,0,,,1
1,3,Edward Schofield,SCS1,Information and Technology Director ,"Responsible for Information Technology, Architecture and Security.","Department for Environment, Food and Rural Affairs",Rural Payments Agency,Information and Technology,N/D,enquiries@defra.gsi.gov.uk,1a,3138695.0,1.0,100000,104999,0,,,1
2,4,Emma Appleby,SCS1,Design Director,Responsible for the stategic business programme.,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Design,N/D,enquiries@defra.gsi.gov.uk,1a,2193129.0,1.0,90000,94999,0,,,1
3,5,Ian Hewett,SCS1,Change Director ,Responsible for the longer term business programme.,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Change,N/D,enquiries@defra.gsi.gov.uk,1a,3601609.0,1.0,60000,64999,0,,,1
4,6,James Tustian,SCS1,Deputy Finance Director,Responsible for Financial matters,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Finance ,N/D,enquiries@defra.gsi.gov.uk,2a,5749678.0,1.0,75000,79999,0,,,1
5,7,John Carter,SCS1,Planning and Performance Director ,"Responsible for analytical information, Operational planning and management information for performance tracking","Department for Environment, Food and Rural Affairs",Rural Payments Agency,Planning and Performance ,N/D,enquiries@defra.gsi.gov.uk,1a,3405325.0,1.0,60000,64999,0,,,1
6,8,Justin Chamberlain,SCS1,Customer Director,Responsible for Customer Communications and Research.,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Customer,N/D,enquiries@defra.gsi.gov.uk,1a,2316168.0,1.0,80000,84999,0,,,1
7,1a,Mark Grimshaw,SCS3,Chief Executive Officer,Chief Executive for the Agency,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Chief Executive,N/D,enquiries@defra.gsi.gov.uk,XX,720501.0,1.0,160000,164999,0,,,1
8,9a,Michael Cooper,SCS1,Director of UK co-ordinating body,Responsible for the Coordination between the UK paying agencies,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,UK co-ordinating body,N/D,enquiries@defra.gsi.gov.uk,XX,324925.0,1.0,70000,74999,0,,,1
9,10,Nicola Bettesworth,SCS1,Human Resources Director,"Responsible for HR Policies, Vacancies & Recruitment, Pay & Pensions, Performance Management, People Development, Talent Management, Diversity & wellbeing, Agency Organisation Chart and Employee Relations.","Department for Environment, Food and Rural Affairs",Rural Payments Agency,Human Resources,N/D,enquiries@defra.gsi.gov.uk,1a,1488260.0,1.0,70000,74999,0,,,1
10,11,Paul Caldwell,SCS1,Operations Director,"Responsible for Compliance & Guidance, Customer, Single Payment Scheme and Trade & Environment.","Department for Environment, Food and Rural Affairs",Rural Payments Agency,Operations,N/D,enquiries@defra.gsi.gov.uk,1a,32300664.0,1.0,60000,64999,0,,,1
11,12,Sarah Milum,SCS1,EU Reporting & Compliance Director,Responsible for financial EU Reporting and Compliance team,"Department for Environment, Food and Rural Affairs",Rural Payments Agency,Finance ,N/D,enquiries@defra.gsi.gov.uk,2a,1910704.0,1.0,70000,74999,0,,,1
12,13,Sharon Ellis,SCS1,External Relations Director ,"Responsible for Corporate Governance, Policy Implementation and Strategy & Reform. ","Department for Environment, Food and Rural Affairs",Rural Payments Agency,External Relations,N/D,enquiries@defra.gsi.gov.uk,1a,2219422.0,1.0,60000,64999,0,,,1
