,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,1CE001,Jennie Price,SCS3,Chief Executive,Chief Executive and Accounting Officer Sport England,"Department for Culture, Media and Sport",Sport England,Chief Executive's Office,020 7273 1601,sportenglandexecutive@sportengland.org,XX,143000.0,0.9,145000,149999,0,Operational Delivery,4.5 days per week,1
1,1CL001,Eliminated,SCS2,Executive Director Commercial,Executive Director reporting to the Chief Executive. Responsible for Commercial Partnerships,"Department for Culture, Media and Sport",Sport England,Business Partnerships,,sportenglandexecutive@sportengland.org,1CE001,0.0,1.0,0,0,0,Operational Delivery,Post deleted,1
2,1CN002,Eliminated,SCS2,Executive Director Communities,Executive Director reporting to the Chief Executive. Responsible for Communities,"Department for Culture, Media and Sport",Sport England,Youth and Communities,,sportenglandexecutive@sportengland.org,1CE001,0.0,1.0,0,0,0,Operational Delivery,Post deleted,1
3,1CP001,Tanya Joseph,SCS2,Executive Director Business Partnerships,Executive Director reporting to the Chief Executive. Responsible for Business Partnerships,"Department for Culture, Media and Sport",Sport England,Business Partnerships,202 7273 1580,sportenglandexecutive@sportengland.org,1CE001,600000.0,1.0,110000,114999,0,Operational Delivery,,1
4,1CY001,Mike Diaper,SCS2,Executive Director Community Sport,Executive Director reporting to the Chief Executive. Responsible for Youth and Communities and Human Resources,"Department for Culture, Media and Sport",Sport England,Community Sport,020 7273 1926,sportenglandexecutive@sportengland.org,1CE001,1933000.0,1.0,95000,99999,0,Operational Delivery,,1
5,1FC001,Rona Chester,SCS3,Chief Operating Officer,Executive Director reporting to the Chief Executive. Responsible for Corporate Services,"Department for Culture, Media and Sport",Sport England,Corporate Services,020 7273 1945,sportenglandexecutive@sportengland.org,1CE001,2357000.0,1.0,150000,154999,0,Operational Delivery,,1
6,1FP001,Charles Johnston,SCS2,Executive Director Facilities & Planning,Executive Director reporting to the Chief Executive. Responsible for Facilities and Planning,"Department for Culture, Media and Sport",Sport England,Facilities and Planning,020 7273 1888,sportenglandexecutive@sportengland.org,1CE001,2374000.0,1.0,125000,129999,0,Operational Delivery,,1
7,1NS001,Lisa O'Keefe,SCS2,Executive Director Insight,Executive Director reporting to the Chief Executive. Responsible for Insight ,"Department for Culture, Media and Sport",Sport England,Insight,020 7273 1737,sportenglandexecutive@sportengland.org,1CE001,626000.0,1.0,110000,114999,0,Operational Delivery,,1
8,1NS002,Phil Smith,SCS2,Executive Director National Governing Bodies and Sport,Executive Director reporting to the Chief Executive. Responsible for National Governing Bodies and Sport,"Department for Culture, Media and Sport",Sport England,National Governing Bodies and Sports,020 7273 1737,sportenglandexecutive@sportengland.org,1CE001,1573500.0,1.0,110000,114999,0,Operational Delivery,,1
9,1RS001,Eliminated,SCS2,Executive Director Research & Strategy,Executive Director reporting to the Chief Executive. Responsible for Research and Strategy,"Department for Culture, Media and Sport",Sport England,Research and Strategy,,sportenglandexecutive@sportengland.org,1CE001,0.0,1.0,0,0,0,Operational Delivery,Post deleted,1
10,1SE004,Eliminated,SCS2,Executive Director Communities ,Executive Director reporting to the Chief Executive. Responsible for Communities,"Department for Culture, Media and Sport",Sport England,Youth and Communities,,sportenglandexecutive@sportengland.org,1CE001,0.0,0.8,0,0,0,Operational Delivery,Post deleted,1
