,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,4PO01,Mark Sedwill,SCS4,Permanent Secretary,'The permanent secretary of the Home Office is responsible to the home secretary and parliament for leading the Home Office group so that the Home Office delivers its objectives in the short term and builds capacity to deliver in the future.',Home Office,Home Office,Permanent Secretary's Office,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,XX,0.0,1.0,180000,184999,0,Operational Delivery,Post re-coded (previously 4PS01). ,1
1,1PO01,N/D,SCS1,Principal Private Secretary and Head of Private Office,"Private Office provides a high level of support to Ministers and the Permanent Secretary in establishing and maintaining effective working relationships between Ministers and the Department’s officials, and support the Department in their delivery of the Home Office’s objectives.'",Home Office,Home Office,Home Secretary's Office,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2PO01,1680000.0,1.0,0,0,0,Operational Delivery,,1
2,1PO03,N/D,SCS1,Private Secretary to Permanent Secretary,"Private Office provides a high level of support to Ministers and the Permanent Secretary in establishing and maintaining effective working relationships between Ministers and the Department’s officials, and support the Department in their delivery of the Home Office’s objectives.'",Home Office,Home Office,Permanent Secretary's Office,0207 035 4848 or Minicom 0207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,4PO01,180000.0,1.0,0,0,0,Operational Delivery,,1
3,1PO04,N/D,SCS1,Head of Strategy & Delivery,"Strategy and Delivery Unit plays a key role in strengthening the Department's strategy and policy governance. Working collaboratively with the strategy and policy teams across the Home Office and Agencies to identify performance risks, to provide focused attention to improve performance and inject innovative thinking and critial challenge into policy and operational development.",Home Office,Home Office,Home Secretary's Office,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,2PO01,620000.0,1.0,0,0,0,Operational Delivery,,1
4,2PO01,Simon King,SCS2,Director of Strategy and Delivery Unit and Private Office,"Strategy and Delivery Unit plays a key role in strengthening the Department's strategy and policy governance. Working collaboratively with the strategy and policy teams across the Home Office and Agencies to identify performance risks, to provide focused ",Home Office,Home Office,Home Secretary's Office,0207 035 4848,public.enquiries@homeoffice.gsi.gov.uk,4PO01,0.0,1.0,80000,84999,0,Operational Delivery,,1
5,3BF01,Sir Charles Montgomery,SCS3,Director General of Border Force,"""The Head of Border Force is responsible for the delivery of the strategic aims of Border Force; the strengthening of the UK’s security through strong border controls, protecting the country from illegal immigration, organised crime and terrorism, while welcoming and facilitating legitimate travellers and trade. Border Force will protect our border with single immigration and customs checks, tackle smuggling, immigration crime and border tax fraud, and it will implement fast and fair decisions. This will be accomplished by integrating the work of the legacy immigration and customs services, coupled with the use of technology to increase the level of data and intelligence support to frontline operations. We will work collaboratively to achieve this with our partners and develop our special relationships with HMRC, the Police, SOCA and other law enforcement agencies.""",Home Office,Home Office,Border Force,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,4PO01,250000.0,1.0,140000,144999,0,Operational Delivery,,1
6,2BF01,Vacant,SCS2,Director of Border Technology,"""Director responsible for: the definition and delivery of the e-borders programme; the development of the Border Automation strategy, and; the commissioning of live technology services for Border Force""",Home Office,Home Office,e-Borders,,public.enquiries@homeoffice.gsi.gov.uk,3BF01,0.0,1.0,0,0,0,Information Technology,,1
7,1BF11,N/D,SCS1,Deputy Programme Director (e-Borders),"""Responsible for the portfolio of e-Borders and Border Technology delivery projects, primarily associated with the Warnings Index or Semaphore systems""",Home Office,Home Office,e-Borders,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF01,5940000.0,1.0,0,0,0,Information Technology,,1
8,1BF12,N/D,SCS1,"Deputy Programme Director, Border Systems","""Director responsible for the development of the Border Automation strategy, and the commissioning of live"" technology services for Border Force",Home Office,Home Office,Automation Strategy and Delivery,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF01,0.0,1.0,0,0,0,Information Technology,,1
9,1BF18,N/D,SCS1,Director of Intelligence,""" To effectively and efficiently manage all intelligence received, internally or externally, related to Border Force.",Home Office,Home Office,Border Force Intelligence,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,0.0,1.0,0,0,0,Planning,,1
10,2BF03,Mandie Campbell,SCS2,Border Force Chief Operating Officer,"""The Chief Operating Officer will be accountable to the Director General Border Force for the overall performance of the Border Force and will be responsible for ensuring achievement of the goals and outcomes agreed with Ministers"" ",Home Office,Home Office,Border Force Chief Operating Officer,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,3BF01,0.0,1.0,120000,124999,0,Operational Delivery,,1
11,1BF02,N/D,SCS1,Director National Customs Operations ,"""Responsible for leading the National Operations and Performance command in Border Force, driving operational business performance across Border Force to shape and deliver organisational priorities and targets. Leading an effective prioritisation, tasking and deployment process nationally. Leading the development and establishment of an integrated national intelligence and targeting capability to support front line operational delivery. Developing and holding effective partnerships with HMRC, Police, SOCA, Counter Terrorism agencies and international partners to support wider border security activities and priorities.""",Home Office,Home Office,National Operations & Performance,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,15480000.0,1.0,0,0,0,Operational Delivery,,1
12,1BF04,N/D,SCS1,Regional Director Southern ,"""The role is to lead and develop 1,500 staff working to secure the UK border in South, South West England .  The remit is to create a fully integrated; multi skilled and flexible workforce to ensure that only legitimate people and goods enter the UK.""",Home Office,Home Office,Border Force South Region,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,58810000.0,1.0,0,0,0,Operational Delivery,,1
13,1BF03,N/D,SCS1,Regional Director Central,"""Operational responsibility for border control operations (1350 staff) for all ports and airports in the region (Port of Felixstowe, Harwich International Port, Port of Tilbury, Thamesport, Purfleet, Sheerness, London City Airport, London Luton Airport, Stansted Airport, Norwich Airport, Birmingham International Airport, East Midlands Airport, Cardiff Airport, Cardiff Docks, Swansea Docks, Pembroke Dock, Port of Fishguard, Port of Holyhead) and postal operations at the offices of exchange at Mount Pleasant (Royal Mail) and Coventry International Hub (Parcelforce)""",Home Office,Home Office,Border Force Central Region,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,27070000.0,1.0,0,0,0,Operational Delivery,,1
14,1BF10,N/D,SCS1,Regional Director North Region,"""The leadership and management of approximately 1150 staff and other resources across Border Force North Region to deliver key business results. The region covers 16 international airports and 12 major, (and countless smaller) seaports in Northern England, Scotland and Northern Ireland. Additionally the postholder has a national responsibility for the management of the Queens Warehouses (used to store seized goods pending court hearing or destruction)""",Home Office,Home Office,Border Force North Region,0207 035 4848 or Minicom 00207 035 4742,public.enquiries@homeoffice.gsi.gov.uk,2BF03,23530000.0,1.0,0,0,0,Operational Delivery,,1
