,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,HO_CED001v2,Paul Leinster,SCS4,Chief Executive Officer,CEO,"Department for Environment, Food and Rural Affairs",Environment Agency,Head Office - Chief Executive's Directorate - Strategic Co-ordionation - Rio,8708506506.0,enquiries@environment-agency.gov.uk,XX,1147612.0,1.0,190000,194999,0,Operational Delivery,,1
1,HO_EBD001v2,Edward Mitchell,SCS3,Executive Director of Environment and Business,"Environment Agency Directorate to provide leadership in how we deal, in an integrated way, with the relationships between climate change, people, business, protection of natural resources (air, land, water) and sustainable use of energy, water and materials.","Department for Environment, Food and Rural Affairs",Environment Agency,Head Office - Environment and Business - Directors Office,8708506506.0,enquiries@environment-agency.gov.uk,HO_CED001v2,387358.0,1.0,130000,134999,0,Programme and Project Management (PPM),,1
2,HO_EVED1003v2,Miranda Kavanagh,SCS3,Executive Director of Evidence,"The Evidence Directorate ensures that compelling evidence drives the Environment Agencys strategy, work programme, and reputation.","Department for Environment, Food and Rural Affairs",Environment Agency,Head Office - Evidence,8708506506.0,enquiries@environment-agency.gov.uk,HO_CED001v2,405283.0,1.0,135000,139999,0,Programme and Project Management (PPM),,1
3,HO_FCRM1001v2,David Rooke,SCS3,Executive Director of FCRM,Accountable for the Environment Agencys Flood and Coastal Risk Management activities across England .,"Department for Environment, Food and Rural Affairs",Environment Agency,Head Office - Flood and Coastal Risk Management,8708506506.0,enquiries@environment-agency.gov.uk,HO_CED001v2,301035.0,1.0,125000,129999,0,Science and Engineering,,1
4,HO_NHF008v2,Mark McLaughlin,SCS3,Executive Director of Finance,"Directs the Finance Directorate and is responsible for defining strategy and policies for Finance, Procurement, Pensions and Corporate Information Systems, and for liaising with Government.","Department for Environment, Food and Rural Affairs",Environment Agency,Head Office - Finance,8708506506.0,enquiries@environment-agency.gov.uk,HO_CED001v2,508513.0,1.0,145000,149999,0,Finance,,1
5,HO_NHO000v3,David Jordan,SCS3,Executive Director of Operations,"Accountable for all of the Environment Agencys operational activities across England . A member of the Environment Agencys team of Directors, which is responsible for defining the Environment Agencys strategy and policies, and for liaising with Government","Department for Environment, Food and Rural Affairs",Environment Agency,Head Office - Operations - Director of Operations,8708506506.0,enquiries@environment-agency.gov.uk,HO_CED001v2,859537.0,1.0,160000,164999,0,Operational Delivery,,1
6,HO_HR136v2,Jonathan Robinson,SCS3,Executive Director of Resources and Legal Services,"The Resources Directorate supports the Environment Agency through ensuring the right people, with the right capabilities, are in the right places with the right training, technology and equipment to enable them to perform their duties to the highest standard.  The Resources Directorate is responsible for Human Resources, Corporate Information Services, Internal Environment Management, Estates and Fleet Management and Legal Services. ","Department for Environment, Food and Rural Affairs",Environment Agency,Head Office - Resources,8708506506.0,enquiries@environment-agency.gov.uk,HO_CED001v2,390214.0,1.0,125000,129999,0,Human Resources,,1
7,AN_EARA001v3,Susan Longstone,SCS2,Director,"Provide strategic direction in the protection and enhancement of the environment in the business unit and contribute to protect and enhance the environment across England and Wales, within the scope of Environment Agency responsibility and influence.","Department for Environment, Food and Rural Affairs",Environment Agency,Anglian - Anglian Office - Anglian Office,8708506506.0,enquiries@environment-agency.gov.uk,HO_NHO000v3,362877.0,1.0,85000,89999,0,Operational Delivery,,1
8,HO_CED318,Toby Willison,SCS2,Programme Director,Organisational Review and Development  - A temporary small team developing our responses to the Triennial and Spending Reviews and ensuring the new corporate plan fully encompasses all of this thinking. Job purpose - Provide the strategic direction and leadership on fundamentally reshaping the Environment Agency‘s business model. Ensure that current and planned activities deliver appropriate resource allocations to meet internal/external priorities. Provide Directors with options on how to most effectively and efficiently use resources in 2010 and beyond,"Department for Environment, Food and Rural Affairs",Environment Agency,Head Office - Chief Executive's Directorate - Fit for the Future Review,8708506506.0,enquiries@environment-agency.gov.uk,HO_CED001v2,107002.0,1.0,105000,109999,0,Programme and Project Management (PPM),,1
9,HO_CED201v4,Pamela Gilder,SCS2,Head of Performance and Engagement,Makes sure we achieve our Corporate Strategy and to enable the business to make effective decisions.,"Department for Environment, Food and Rural Affairs",Environment Agency,Head Office - Chief Executive's Directorate - Strategic Co-ordionation - Rio,8708506506.0,enquiries@environment-agency.gov.uk,HO_CED001v2,360494.0,1.0,95000,99999,0,Operational Delivery,,1
