,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,DWP8,Simon Tse,SCS2,Contracted Customer Services Director,"The Contracted Customer Services Directorate is responsible for those services delivered by third parties to customers and claimants, including the Work Programme and other employment programmes. The Directorate also manages and development of the Tell Us Once Service, has Responsibility for Housing Benefit and Council Tax Benefit delivery and oversees the successful delivery and evolution of a very substantial programme of medical assessments to establish claimants entitlement to benefits. ",Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,0207 449 5173,correspondence@dwp.gsi.gov.uk,DWP202,1846487.88,1.0,65000,69999,0,Operational Delivery,,1
1,DWP3,N/D,SCS1,Head of Medical Services (Operations),"To manage the performance and delivery of the contract for the supply of medical assessments for benefit.  Working with the supplier to ensure good performance, customer service and value for money.",Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,0207 449 7516,correspondence@dwp.gsi.gov.uk,DWP8,942648.0,1.0,75000,79999,0,Operational Delivery,,1
2,DWP11,N/D,SCS1,Head of Provision Performance & Controls Division,"Provision Performance & Controls Division sits within Contracted Customer Services Directorate which is part of DWP Operations. The Department spends around £1bn a year on contracted employment provision. Contracted employment provision is where private, public and voluntary sector providers give to those who need help in finding and keeping work assistance. Provision performance and Controls Division provides the infrastruture that supports contracted employment provision, including systems for referral, payment, financial assurance, compliance, security, performance monitoring and analysis and the Merlin Standard.",Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,0207 449 7516,correspondence@dwp.gsi.gov.uk,DWP8,0.0,1.0,70000,74999,0,Operational Delivery,,1
3,DWP34,N/D,SCS1,"Deputy Director, Housing Delivery","The team supports the delivery of Housing Benefit and Council Tax Benefit, allocating and managing the DWP funding to local authorities. We analyse performance data and support local authorities in improving their delivery. We support local authority housing costs teams in preparing for the changes that Universal Credit and welfare reform will bring.",Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,0207 449 7516,correspondence@dwp.gsi.gov.uk,DWP8,1846487.88,1.0,65000,69999,0,Operational Delivery,,1
4,DWP294,N/D,SCS1,"Deputy Director, Contracted Employment Services ",Developing DWP Commissioning Strategy and working with Strategy Group on changes to current and future Work Programmes,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,0207 449 7516,correspondence@dwp.gsi.gov.uk,DWP8,0.0,0.6,70000,74999,0,Operational Delivery,,1
5,DWP18,N/D,SCS1,Head of Tell Us Once Delivery Partnerships,Delivering the Tell Us Once service enabling citizens to notify government once of a birth or a death.,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,0207 449 7516,correspondence@dwp.gsi.gov.uk,DWP8,1247314.72,1.0,80000,84999,0,Operational Delivery,,1
6,DWP302,N/D,SCS1,"Deputy Director, Quality Project",Developing a quality & assurance framework across DWP operations,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,0207 340 4206,correspondence@dwp.gsi.gov.uk,DWP28,0.0,1.0,75000,79999,0,Operational Delivery,,1
7,DWP15,N/D,SCS1,Head of Work Programmes Division,Managing all contracted employment programmes delivered by third party providers on behalf of the Department.,Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,0207 449 7516,correspondence@dwp.gsi.gov.uk,DWP8,5115853.46,1.0,65000,69999,0,Operational Delivery,,1
8,DWP307,N/D,SCS1,Head of Provision Performance & Controls Division,"The Provision Performance & Controls Division exists to improve provider performance and to set our future strategy for contracting, as well as providing support to existing provision. The Division is responsible for:- (1) The implementation of DWP’s commissioning and market strategy for contracted employment provision including localisation; (2) The performance and financial allocations for third party provision; (3) The monitoring and performance improvement of contracted employment provision including inspection and other assurance and (4) Analytical work across the commissioning and delivery cycle.",Department for Work and Pensions,Department for Work and Pensions,Operations - Contracted Customer Services,0207 449 7516,correspondence@dwp.gsi.gov.uk,DWP8,3520903.55,1.0,60000,64999,0,Operational Delivery,,1
9,DWP14,Graeme Wallace,SCS2,Pensions Director,"Accountable for leading a multi-channel customer service delivery organisation comprising £7K staff with responsibility for the timely and accurate delivery of £87b of public expenditure to £14m customers across the UK and abroad, specifically State Pension, Pension Credit, Winter Fuel Payments and Carers Allowance. ",Department for Work and Pensions,Department for Work and Pensions,Operations - Pensions,0207 449 7516,correspondence@dwp.gsi.gov.uk,DWP249,123656307.93,1.0,85000,89999,0,Operational Delivery,,1
10,DWP20,N/D,SCS1,Head of Service Integration,"Provision of technical learning to DWP frontline staff, responsible for development and maintenance of guidance, products, in-house small systems, release scoping, MI gateway, advice and impacting new strategy initiatives. ",Department for Work and Pensions,Department for Work and Pensions,Operations - Pensions,0207 449 5173,universal.creditcomms@dwp.gsi.gov.uk,DWP28,0.0,1.0,65000,69999,0,Operational Delivery,,1
11,DWP202,Noel Shanahan,SCS3,"Director General, DWP Operations and SRO for the Child Maintenance Change Programme","Responsible for the development and provision of DWP's services to the public, including those provided by partners or under contract. Also Senior Responsible Owner for the Child Maintenance Change Programme.",Department for Work and Pensions,Department for Work and Pensions,Operations - Other,0207 449 5173,universal.creditcomms@dwp.gsi.gov.uk,DWP135,182144.51,1.0,145000,149999,0,Operational Delivery,,1
