,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,1017733,Air Chief Marshal A Pulford,OF-9,Chief of the Air Staff,"Chief Air Staff is the professional head of the Royal Air Force.  He is responsible for generating a balanced and integrated Royal Air Force capability, and for maintaining the fighting effectiveness and morale of the Service.  He reports to the Chief of the Defence  (CDS).  He is a member of the Defence Council and the Air Force Board, the Defence Ministerial Committee, the Defence Board, the Chiefs of Staff Committee and the Senior Appointments Committee.  He chairs the Air Force Board Standing Committee.",Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,01494 496137,Air-Dres-BMT Gp Mailbox@mod.uk,xx,1011744190.06,1.0,165000,169999,0,,,1
1,1018042,Air Vice Marshal E Stringer,OF-7,Assistant Chief of the Air Staff,Assisting the Chief of the Air Staff in generating a balanced and integrated Royal Air Force capability and for maintaining the fighting effectiveness and morale of the Service including the development of policy.,Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,01494 496137,Air-Dres-BMT Gp Mailbox@mod.uk,1017733,0.0,1.0,105000,109999,0,,,1
2,1617513,Air Marshal G Bagwell,OF-8,Deputy Commander Operations and Air Member for Operations,"Deputy Commander Operations is the RAF’s senior warfighter, and is responsible for generating the RAF’s contribution to Operations both at home and overseas.  Commanding AOCs No 1 and No 2 Gps, and acting as CAS’s deputy, he is also in charge of the routine HQ operation on a day to day basis.  DCom Ops’ intent is to enable the RAF to Force Generate agile, interoperable and capable war fighters who understand and deliver Air Power in order to meet the challenges of our standing and contingency commitments",Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,01494 496137,Air-Dres-BMT Gp Mailbox@mod.uk,1017733,0.0,1.0,125000,129999,0,,,1
3,1071229,Air Marshal B North,OF-8,Deputy Commander Capability and Air Member for Personnel and Capability,"The role of Deputy Commander Capability is to provide sufficient personnel to meet the trained manpower requirement of the RAF, to ensure those personnel are trained to be capable of carrying out the tasks demanded of them, and that they are provided with the right support such that they are motivated to repeatedly and willingly deliver operational effect.  As Chair of the Air Force Capability Group, DCom Cap is also responsible for the efficient and effective development of capability for Air.  In his dual role as AMP, he provides the policies, strategies and personnel management advice to CAS to ensure that the RAF vision is deliverable now and in the longer term. ",Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,01494 496137,Air-Dres-BMT Gp Mailbox@mod.uk,1017733,0.0,1.0,125000,129999,0,,,1
4,1637646,N/D,OF-6,Assistant Chief of Staff Media and Communications,"Media and Communications is responsible for deployed Media Operations and Media Strategy and Public Relations, to internal and external public audiences. Media and Communications.",Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,01494 496137,Air-Dres-BMT Gp Mailbox@mod.uk,1073288,0.0,1.0,0,0,0,,,1
5,1071831,N/D,OF-7,Chaplain-in-Chief,"The Mission of the Royal Air Force Chaplains' Branch is to serve the Royal Air Force through Prayer, Presence and Proclamation.",Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,01494 496137,Air-Dres-BMT Gp Mailbox@mod.uk,1071229,0.0,1.0,100000,104999,0,,,1
6,1071292,N/D,OF-6,Hd RAF Medical Services,"To maximise the numbers of RAF personnel fit for task and provide coherent and effective medical operational capability to facilitate an agile, adaptable and capable Air Force.",Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,01494 496137,Air-Dres-BMT Gp Mailbox@mod.uk,1071229,0.0,1.0,0,0,0,,,1
7,1071252,N/D,OF-6,Commandant Royal Air Force Centre of Aviation Medicine,"To maximise the numbers of RAF personnel fit for task and provide coherent and effective medical operational capability to facilitate an agile, adaptable and capable Air Force.",Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,01494 496137,Air-Dres-BMT Gp Mailbox@mod.uk,1072092,0.0,1.0,0,0,0,,,1
8,1071779,Air Vice Marshal L Irvine,OF-7,Director Legal Services,"To deliver high quality, effective and operationally focused legal services to the RAF and Defence.",Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,01494 496137,Air-Dres-BMT Gp Mailbox@mod.uk,1071229,0.0,1.0,115000,119999,0,,,1
9,1071780,N/D,OF-6,Deputy Director Legal Services,"To deliver high quality, effective and operationally focused legal services to the RAF and Defence.",Ministry of Defence,Ministry of Defence,Royal Air Force Air Command,01494 496137,Air-Dres-BMT Gp Mailbox@mod.uk,1071779,0.0,1.0,0,0,0,,,1
