"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"5","Glynn Hewinson","SCS1","Chief Scientist","Chief Scientist","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Chief Scientist","01932 359538","corp.weybridge@ahvla.gsi.gov.uk","1","13679426","1","65000","69999","","science and engineering","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/5","/data/ahvla/2011-03-31/AHVLA---March-2011.xls","person6"
"8","Rupert Hine","SCS1","Director of Advice Services","Director of Advice Services","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Advice Services","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","2","1896526","1","65000","69999","","Policy","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/8","/data/ahvla/2011-03-31/AHVLA---March-2011.xls","person9"
"11","Edwina Thirkell","SCS1","Director for England","Director for England","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Country Director (England)","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","6","23965701","1","65000","69999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/11","/data/ahvla/2011-03-31/AHVLA---March-2011.xls","person12"
"9","Richard Bowen","SCS1","HR Director","HR Director","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Human Resources","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","7","2226963","1","75000","79999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/9","/data/ahvla/2011-03-31/AHVLA---March-2011.xls","person10"
"10","Mike Steel","SCS1","Director for Wales","Director for Wales","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Country Director (Wales)","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","6","4803631","1","65000","69999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/10","/data/ahvla/2011-03-31/AHVLA---March-2011.xls","person11"
"12","","SCS1","Director for Scotland","Director for Scotland","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Country Director (Scotland)","","","6","3935106","","N/D","N/D","","","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/12","",""
"4","Julie Pierce","SCS1","CIO and Director of Corporate Services","CIO and Director of Corporate Services","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","CIO and Director of Corporate Services","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","1","3801384","1","115000","119999","","Information Technology","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/4","/data/ahvla/2011-03-31/AHVLA---March-2011.xls","person5"
"1","Catherine Brown","SCS2","Chief Executive","Chief Executive","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","CEO","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","XX","1268670","1","130000","134999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/1","/data/ahvla/2011-03-31/AHVLA---March-2011.xls","person2"
"2","Nick Coulson","SCS1","Veterinary Director","Veterinary Director","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Veterinary Director","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","1","1128235","1","80000","84999","","Vets","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/2","/data/ahvla/2011-03-31/AHVLA---March-2011.xls","person3"
"7","","SCS1","Director of Change","Director of Change","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Director of Change","","","1","1890589","","N/D","N/D","","","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/7","",""
"6","Nina Purcell","SCS1","Chief Operating Officer","Chief Operating Officer","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Chief Operating Officer","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","1","15590948","1","65000","69999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/6","/data/ahvla/2011-03-31/AHVLA---March-2011.xls","person7"
"3","Chris Morrey","SCS1","Finance Director","Finance Director","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Finance Director","01932 359538","corp.weybridge@ahvla.gsi.gov.uk","1","3079912","1","75000","79999","","Finance","","","http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboratories-agency/post/3","/data/ahvla/2011-03-31/AHVLA---March-2011.xls","person4"
