"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"17004","Lucy Wylde","SCS2","General Counsel","Head of Legal and Compliance team, responsible for the provision of legal advice and governance and compliance support for all APA activities. The post holder sits on the Advisory Board of the APA.","HM Treasury","Asset Protection Agency","Legal and Compliance","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","0","1","160000","164999","","Law","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/17004","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person7"
"18139","N/D","SCS1","Risk Director","Director within Risk Department","HM Treasury","Asset Protection Agency","Risk","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/18139","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person10"
"17022","N/D","SCS1","Risk Director","Director within Risk Department","HM Treasury","Asset Protection Agency","Risk","0207 877 3400","correspondence@apa.gsi.gov.uk","18139","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/17022","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person8"
"17096","N/D","SCS1","Operations Director","Director within Operations Department","HM Treasury","Asset Protection Agency","Operations","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","0","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/17096","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person15"
"17019","Ion Dagtoglou","SCS2","Chief Investment Officer","Head of Investment Management Team, responsible for reviewing the Participant Bank's compliance with the Scheme rules, asset management performance and individual asset decisions. The post holder sits on the Advisory Board of the APA.","HM Treasury","Asset Protection Agency","Investment Management","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","964760","1","165000","169999","","Policy","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/17019","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person4"
"17014","N/D","SCS1","Investment Director","Director within Investment Department","HM Treasury","Asset Protection Agency","Investment Management","0207 877 3400","correspondence@apa.gsi.gov.uk","17019","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/17014","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person11"
"18097","N/D","SCS1","Finance Director","Director within Finance Department","HM Treasury","Asset Protection Agency","Finance","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","0","1","0","0","","Finance","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/18097","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person16"
"17024","N/D","SCS1","Investment Director","Director within Investment Department","HM Treasury","Asset Protection Agency","Investment Management","0207 877 3400","correspondence@apa.gsi.gov.uk","17019","0","0.8","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/17024","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person12"
"18124","N/D","SCS1","Investment Director","Director within Investment Department","HM Treasury","Asset Protection Agency","Investment Management","0207 877 3400","correspondence@apa.gsi.gov.uk","17019","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/18124","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person13"
"18231","Bill Dickinson","SCS2","CEO","Executive Head of the APA responsible for the strategic direction of the Agency. Reporting to 2nd Perm Secretary, HM Treasury","HM Treasury","Asset Protection Agency","CEO Office","0207 877 3400","correspondence@apa.gsi.gov.uk","XX","1040748","1","140000","144999","","Finance","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/18231","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person3"
"17018","Brian Scammell","SCS2","Chief Credit Officer - Commercial Real Estate","Responsible for making credit and disposal decisions and leading credit analysis in the subject area. The post holder sits on the Credit Committee.","HM Treasury","Asset Protection Agency","CEO Office","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","0","0.8","130000","134999","","Policy","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/17018","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person6"
"19494","N/D","SCS1","Risk Director","Director within Risk Department","HM Treasury","Asset Protection Agency","Risk","0207 877 3400","correspondence@apa.gsi.gov.uk","18139","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/19494","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person9"
"18155","N/D","SCS1","Investment Director","Director within Investment Department","HM Treasury","Asset Protection Agency","Investment Management","0207 877 3400","correspondence@apa.gsi.gov.uk","17019","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/asset-protection-agency/post/18155","/data/apa/2012-03-31/APA-government-staff-and-salary-data-blank-template---March-2012-FINAL.xls","person14"
