"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"58442","Roy Irwin","SCS2","Director Housing, Sustainability and Economic Development","Local Government, Housing & Community Safety","Department for Communities and Local Government","Audit Commission","Local Government, Housing & Community Safety","0844 798 3131","public-enquiries@audit-commission.gov.uk","32914","753943","1","145000","149999","","Policy","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/58442","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person20"
"24126","Not disclosed","SCS2","Director of Audit","Audit Practice","Department for Communities and Local Government","Audit Commission","Audit Practice","0844 798 3131","public-enquiries@audit-commission.gov.uk","77775","8525833","1","105000","109999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/24126","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person9"
"54084","Eugene Sullivan","SCS4","Chief Executive","Chief Executive/Chairman","Department for Communities and Local Government","Audit Commission","Chief Executive/Chairman","0844 798 3131","public-enquiries@audit-commission.gov.uk","XX","0","1","175000","179999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/54084","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person13"
"42711","Not disclosed","SCS2","Director","Policy Research & Studies","Department for Communities and Local Government","Audit Commission","Policy Research & Studies","0844 798 3131","public-enquiries@audit-commission.gov.uk","32914","640079","1","95000","99999","","Operational Research","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/42711","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person24"
"32914","Peter Wilkinson","SCS3","Managing Director Policy, Research and Studies, and Local Government, Hosuing and Community Safety","Policy Research & Studies","Department for Communities and Local Government","Audit Commission","Policy Research & Studies","0844 798 3131","public-enquiries@audit-commission.gov.uk","54084","323593","1","175000","179999","","Policy","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/32914","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person22"
"54294","Not disclosed","SCS2","Senior Director of Audit","Audit Practice","Department for Communities and Local Government","Audit Commission","Audit Practice","0844 798 3131","public-enquiries@audit-commission.gov.uk","77775","3444394","0.95","130000","134999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/54294","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person12"
"88837","Not disclosed","SCS2","Director of Studies (Solihull)","Policy Research & Studies","Department for Communities and Local Government","Audit Commission","Policy Research & Studies","0844 798 3131","public-enquiries@audit-commission.gov.uk","32914","617342","1","95000","99999","","Operational Research","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/88837","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person25"
"87808","Mark Fletcher","SCS2","Director of Advisory Services","Audit Practice","Department for Communities and Local Government","Audit Commission","Audit Practice","0844 798 3131","public-enquiries@audit-commission.gov.uk","77775","2386109","1","140000","144999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/87808","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person5"
"33732","Not disclosed","SCS2","Director of Audit","Audit Practice","Department for Communities and Local Government","Audit Commission","Audit Practice","0844 798 3131","public-enquiries@audit-commission.gov.uk","77775","5688000","1","110000","114999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/33732","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person8"
"71273","Andy McKeon","SCS3","Managing Director Health","Health","Department for Communities and Local Government","Audit Commission","Health","0844 798 3131","public-enquiries@audit-commission.gov.uk","54084","2009133","1","175000","179999","","Policy","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/71273","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person18"
"70628","Chris Westwood","SCS2","Director Professional Practice","Audit Practice","Department for Communities and Local Government","Audit Commission","Audit Practice","0844 798 3131","public-enquiries@audit-commission.gov.uk","77775","2578050","1","125000","129999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/70628","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person6"
"77775","Gareth Davies","SCS3","Managing Director Audit Practice","Audit Practice","Department for Communities and Local Government","Audit Commission","Audit Practice","0844 798 3131","public-enquiries@audit-commission.gov.uk","54084","0","1","175000","179999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/77775","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person4"
"36358","Jeremy Boss","SCS2","CIO & Director of BIS","Corporate Services","Department for Communities and Local Government","Audit Commission","Corporate Services","0844 798 3131","public-enquiries@audit-commission.gov.uk","54084","4131785","1","135000","139999","","Information Technology","","","http://reference.data.gov.uk/id/public-body/audit-commission/post/36358","/data/audit-commission/2011-03-31/Audit-Commission---Staff-and-Salary-Data-FINAL---March-2011.xls","person16"
