"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"23","","SCS1","Head of Information Systems","The Information Systems team is responsible for the architecture, delivery and testing of the Commission's information systems. Architecture roles include developing the information system strategy, setting architecture standards and principles, proposing cost effective solutions to meet business needs. Delivery includes the defining delivery standards and methods, the management of third party suppliers delivering new solutions or enhancements, and using product configuration capabilities where appropriate. Testing includes the definition of testing standards, test assurance of third party suppliers and the planning and execution of user acceptance testing.","Department for Work and Pensions","Child Maintenance and Enforcement Commission","Information & Technology Directorate","0207 853 8012","transparency.questions@childmaintenance.gsi.gov.uk","5","1799298","1","N/D","N/D","","Information Technology","","","http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission/post/23","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","person24"
"44","","SCS1","Debt Enforcement Director","The Debt Enforcement Director is responsible for re-establishing compliance where payments have broken down; ensuring maintenance is paid through debt negotiation, imposing deduction from earning orders where required.","Department for Work and Pensions","Child Maintenance and Enforcement Commission","CSA Operations Directorate","0207 853 8012","transparency.questions@childmaintenance.gsi.gov.uk","41","29321250","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission/post/44","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","person45"
"15","","SCS1","Marketing and Communications Director","The Marketing team are responsible for - developing all materials used by the Commission when communicating to clients and stakeholders, this includes the Commission websites. - interpreting the needs of separating parents together with feedback from existing users of Commission services and translating this into information that can be used by the Commission to develop and improve services. - Developing and delivering activity to promote Commission services.","Department for Work and Pensions","Child Maintenance and Enforcement Commission","Customer Directorate","0207 853 8012","transparency.questions@childmaintenance.gsi.gov.uk","50","962681","1","N/D","N/D","","Communications","","","http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission/post/15","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","person16"
"7","Alan Hardy","SCS2","Finance and Commercial Director","The Finance and Commercial Directorate is responsible for all financial matters within the Commission including financial management, reporting, accounting, business performance reporting and client funds accounting - and for ensuring that value for money is delivered. Colleagues within the directorate contribute to the future direction of the organisation by offering advice to the Executive Team, Board and Ministers, and delivering the Commission�s strategic planning, analysis and research activities. The directorate is also responsible for the Commission�s commercial and supplier relationships, estate management and governance, risk and assurance activity","Department for Work and Pensions","Child Maintenance and Enforcement Commission","Finance & Commercial Directorate","0207 853 8012","transparency.questions@childmaintenance.gsi.gov.uk","1","240394","1","135000","139999","","Finance","","","http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission/post/7","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","person8"
"47","","SCS1","Projects Finance Director","The Projects Finance Director is responsible for driving value for money for the Commission and the taxpayer, and identifying opportunities to drive efficiencies, productivity and performance.","Department for Work and Pensions","Child Maintenance and Enforcement Commission","Finance & Commercial Directorate","0207 853 8012","transparency.questions@childmaintenance.gsi.gov.uk","7","N/D","1","N/D","N/D","","Finance","","","http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission/post/47","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","person48"
"37","","SCS1","Director of Programme Delivery","The Director of Programme Delivery is responsible for driving delivery of the future scheme change programme, particularly focusing on risks, issues and interdependancies and ensuring robust plans are in place.","Department for Work and Pensions","Child Maintenance and Enforcement Commission","Change Directorate","0207 853 8012","transparency.questions@childmaintenance.gsi.gov.uk","4","1016327","1","N/D","N/D","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission/post/37","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","person38"
"43","","SCS1","Legal Enforcement Director","The Legal Enforcement Director is responsible for re-establishing compliance and ensuring maintenance is paid on cases where Debt Enforcement action has failed. Measures used include charging orders, third party debt orders, obtaining Liability Orders for debt through the Courts, driving licence removal and even the possibility of imprisonment.","Department for Work and Pensions","Child Maintenance and Enforcement Commission","CSA Operations Directorate","0207 853 8012","transparency.questions@childmaintenance.gsi.gov.uk","41","20201097","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission/post/43","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","person44"
"11","","SCS1","Head of Strategy","The purpose of the Strategy team is to develop a coherent high-level strategy for the Commission, setting out how its three key functions will be developed to realise the Commission�s vision and meet its statutory objectives. The work of the team covers: - strategic advice to the Commission Board; - development of policy on the new statutory scheme using income data from HM Revenue and Customs; - developing strategy for promoting financial responsibility and the longer term development of the information and support function including - cross-government opportunities; - strategic input to the corporate planning process.","Department for Work and Pensions","Child Maintenance and Enforcement Commission","Corporate Affairs Directorate","0207 853 8012","transparency.questions@childmaintenance.gsi.gov.uk","2","384211","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission/post/11","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","person12"
"12","","SCS1","Head of Corporate Communications and External Relationships","The Corporate Communications and External Relationships team is responsible for managing relationships with key external stakeholders, the media and wider Government, for corporate publications and the corporate website.","Department for Work and Pensions","Child Maintenance and Enforcement Commission","Corporate Affairs Directorate","0207 853 8012","transparency.questions@childmaintenance.gsi.gov.uk","2","570937","1","N/D","N/D","","Communications","","","http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission/post/12","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","person13"
"50","","SCS1","Customer Director","The Customer directorate is responsible for ensuring that the needs of the client are understood by the Commission and translated into the services and client communications which are delivered. These responsibilities cover service design and development for the statutory schemes; Marketing and Communications, the Child Maintenance Options service and operational responsibility for Complaints and Appeals against the statutory schemes. Responsibilities include: � Developing and delivering the Child Maintenance Options service, through which the Commission discharges its function to provide information, support and guidance � Service design and improvement of the statutory schemes � Marketing and communications across all media � Operational management of complaints and appeals in the statutory schemes, using customer feedback to drive improvements.","Department for Work and Pensions","Child Maintenance and Enforcement Commission","Customer Directorate","0207 853 8012","transparency.questions@childmaintenance.gsi.gov.uk","1","5386095","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/child-maintenance-and-enforcement-commission/post/50","/data/childmaintenance/2011-03-31/Upload-FINAL---02-June-11.xls","person51"
