"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"B101","N/D","SCS1","Chief Professional Officer Economics and PSD","Overall leadership of the economics and private sector development cadres with specific responsibilities for deepening professionalism, strengthening evidence, thought leadership and knowledge sharing.","Department for International Development","Department for International Development","Policy & International","852 300 4100","enquiry@dfid.gov.uk","A22","125380","1","85000","89999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B101","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","person79"
"B95","N/D","SCS1","Deputy Director, Head of Africa Regional Department","Acting Head of Africa Regional Department","Department for International Development","Department for International Development","Country programmes","846 300 4100","enquiry@dfid.gov.uk","A19","1646247","1","65000","69999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B95","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","person73"
"B44","N/D","SCS1","Chief Professional Officer, Climate Change, Environment, Infrastructure and Livelihoods","Overseeing three of DFID's professional cadres, providing strategic leadership and workforce management.","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","B89","163552","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B44","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","person27"
"A14","N/D","SCS2","Director International Relations","Manage DFID's relations with EC, European Member States & other donor countries. Represent the British Government in major multilatral and bilateral negotiations on the international system.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A3","314232","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A14","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","person13"
"A19","N/D","SCS2","Acting Director East and Central Africa","Responsibility for east and central Africa including Ethiopia, Kenya and Somalia, Rwanda and Burundi, Sudan, Tanzania and Uganda.","Department for International Development","Department for International Development","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A5","712167","1","80000","84999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/A19","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","person17"
"B77","N/D","SCS1","Deputy Director, Head of Office DRC","Head of Office","Department for International Development","Department for International Development","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","B69","0","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B77","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","person56"
"B43","N/D","SCS1","Head of CHASE","Head of Chase","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A17","2325560","1","80000","84999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B43","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","person26"
"B89","N/D","SCS1","Deputy Director, Head of DFID Pakistan","Responsible for DFID's development programme with the Government of Pakistan","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A10","0","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B89","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","person68"
"B57","N/D","SCS1","Deputy Director, Head of Office DFID Sierra Leone","Head of Office","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","0","1","70000","74999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B57","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","person38"
"B86","N/D","SCS1","Deputy Director, Head of DFID Ghana","Head of DFID Ghana","Department for International Development","Department for International Development","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","0","1","75000","79999","","","","","http://reference.data.gov.uk/id/public-body/dfid/post/B86","/data/dfid/2011-09-30/government-staff-salary-Nov2011.xls","person65"
