"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"PDCS15","","SCS1","Commercial and Benefit Performance Deputy Director","Improve value for money from goods and services from external suppliers. Lead the Agency�s strategy to reduce fraud and error in benefit payment.","Department for Work and Pensions","Department for Work and Pensions","Pension, Disability and Carers Service","01253 333 233","pdcs@dwp.gsi.gov.uk","PDCS5","3977337","0.8","N/D","N/D","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/department/dwp/post/PDCS15","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person241"
"SIP24","","SCS1","Head of Information Development Services","Providing DWP with an�environment that enables assurance to be given�on the security of�information, property and resources; through the provision of security services. Ensuring that DWP understands the range of information it has available and that the underlying data can be reused with confidence to satisfy its strategic and operational needs. The provision of specialist information�and technical services that help DWP and other departments to make best use of its information to support both policy and delivery needs.�Ensuring that DWP has appropriate governance arrangements in place to ensure that its key responsibilities are met.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Information and Pensions","020 7449 7000","sip@dwp.gsi.gov.uk","SIP23","3289641","1","N/D","N/D","","Knowledge and Information Management (KIM)","","","http://reference.data.gov.uk/id/department/dwp/post/SIP24","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person279"
"Legal10","","SCS1","Deputy Director and Head of Medicines, Devices, Nutrition and Counter-Fraud Division, Department of Health Legal Services","A team of lawyers providing legal services to a number of teams in the Department of Health, under contract to DWP.","Department for Work and Pensions","Department for Work and Pensions","Legal Group","020 7712 2540","legal@dwp.gsi.gov.uk","Legal3","0","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/department/dwp/post/Legal10","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person206"
"JCP39","","SCS1","Customer Service Director for Scotland","Accountable to the Director of Jobcentres for all customer services delivered through Jobcentres and other local service outlets, including advisory services, financial assessment and help with job search.�The post holder is accountable for the end-to-end customer experience in the Group; ensuring that all face to face customer service is undertaken to required standards; within budget and headcount; and for delivering against all agreed operational targets and Key Management Indicators.�The main purpose of the role is to drive performance across the Jobcentre network, and to provide senior leadership across the Group.","Department for Work and Pensions","Department for Work and Pensions","Jobcentre Plus","020 7829 3364","jcp@dwp.gsi.gov.uk","JCP8","92887967","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/department/dwp/post/JCP39","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person187"
"PDCS3","Sarah Scullion","SCS2","HR Director","Responsible for the delivery of all HR Services to Pension, Disability and Carers Service. Role is to ensure, through a network of business partners and centrally provided services, that HR supports and enables PDCS to deliver its� business plan and meet the needs of its customers. Additionally responsible for Strategic Resourcing and Talent Management across DWP. Role is to ensure that DWP has the right people, in the right place, at the right time, with the right skills and at the right cost. Also responsible across the Civil Service for the development of HR Business Partner professional capability.","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 796 28835","hr@dwp.gsi.gov.uk","HR1","4150217","1","115000","119999","","Human Resources","","","http://reference.data.gov.uk/id/department/dwp/post/PDCS3","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person229"
"PDCS26","","SCS1","Change, Deputy Director","Leading a change portfolio of investment from pre-feasibility to implementation, both PDCS and DWP funded, ensuring agreed policy and operational changes are implemented successfully and on schedule to meet legislative and other requirements and ensuring business changes are delivered in a way that maximises benefits and achievement of overall Departmental objectives.","Department for Work and Pensions","Department for Work and Pensions","Pension, Disability and Carers Service","01253 333 233","pdcs@dwp.gsi.gov.uk","PDCS2","1747397","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dwp/post/PDCS26","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person252"
"SS8","","SCS1","Head of Debt Management","Debt Management is part of DWP Shared Services. Lead a team of about 2400 staff across 10 major locations, providing a debt management and recovery service on behalf of DWP (e.g. for the recovery of overpaid benefit), Local Authorities, NHS and other Government Departments.","Department for Work and Pensions","Department for Work and Pensions","Shared Services","020 7449 5941","cit-sharedservices@dwp.gsi.gov.uk","SS2","48347686","1","N/D","N/D","","Human Resources","","","http://reference.data.gov.uk/id/department/dwp/post/SS8","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person64"
"Legal17","","SCS1","Deputy Director, Litigation","The team provides litigation services to the DWP and the Department of Health.","Department for Work and Pensions","Department for Work and Pensions","Legal Group","020 7712 2540","legal@dwp.gsi.gov.uk","Legal4","859965","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/department/dwp/post/Legal17","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person214"
"JCP21","","SCS1","Customer Service Director","Customer Service Director, for Central England Group, accountable to the Director of Jobcentres for all customer services delivered through Jobcentres and other local service outlets, including advisory services, financial assessment and help with job search. Accountable for the end-to-end customer experience in the Group; ensuring that all face to face customer service is undertaken to required standards; within budget and headcount; and for delivering against all agreed operational targets and Key Management Indicators. The main purpose of the role is to drive performance across the Jobcentre network, and to provide senior leadership across the Group.","Department for Work and Pensions","Department for Work and Pensions","Jobcentre Plus","020 7829 3364","jcp@dwp.gsi.gov.uk","JCP8","163118137","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/department/dwp/post/JCP21","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person170"
"CIT2","Kenny Robertson","SCS2","IT Director, Shared Services and Transformational Government","Responsible for DWP IT Strategy and Architecture, Delivery and Operational Performance of corporate business IT systems, and delivery and operational performance of DWP cross-government IT systems.","Department for Work and Pensions","Department for Work and Pensions","Corporate Information Technology","020 7449 5941","cit-sharedservices@dwp.gsi.gov.uk","CIT1","387002","1","135000","139999","","Information Technology","","","http://reference.data.gov.uk/id/department/dwp/post/CIT2","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person10"
"SIP8","","SCS1","HR Director for the Strategy Information and Pensions group and for DWP Shared Services.","Responsible for providing strategic HR advice and support to the DWP Executive Team member, ensuring that people issues are progressed in line with business needs. Line manager to a team of HR Business Partners who directly support discrete areas of these businesses. Responsible for co-ordinating workforce and learning and development plans for these business areas. Direct report to the DWP HR Director General.","Department for Work and Pensions","Department for Work and Pensions","Human Resources","020 796 28835","hr@dwp.gsi.gov.uk","HR1","285887","1","N/D","N/D","","Human Resources","","","http://reference.data.gov.uk/id/department/dwp/post/SIP8","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person263"
"PDCS2","Peter Lowe","SCS2","Change and Transformation Director","Change & Transformation Directorate, PDCS, part of DWP. The Directorate's role is to deliver all change within the Agency through design, build, and test and change management to successful implementation.","Department for Work and Pensions","Department for Work and Pensions","Pension, Disability and Carers Service","01253 333 233","pdcs@dwp.gsi.gov.uk","PDCS1","9813837","1","140000","144999","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/department/dwp/post/PDCS2","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person228"
"WWG2","Bill Gunnyeon","SCS2","Director of Health, Work & Wellbeing and DWP Chief Medical Advisor","Responsible for medical and health related advice to Ministers and the Department; for quality of all medical related work including oversight of quality of work of medical services contractor; for medical and health related policy within the Department; for leading the health, work and wellbeing agenda on behalf of the Department; for oversight of all science based research as Departmental Chief Scientific Adviser; and for external relationships with healthcare professional bodies and other key stakeholders","Department for Work and Pensions","Department for Work and Pensions","Welfare and Wellbeing Group","020 7449 5517","wwg@dwp.gsi.gov.uk","WWG1","2621810","1","130000","134999","","Policy","","","http://reference.data.gov.uk/id/department/dwp/post/WWG2","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person286"
"WWG5","","SCS1","Deputy Director for Health, Work and Wellbeing Directorate and Deputy Chief Medical Adviser.","Functions include Health and Benefits Policy, the Medical Adviser team, contributing to development of the Directorate�s overall strategy on Disability and Work and Deputising for the Chief Medical Adviser. This includes overall responsibility for development and maintenance of policy in relation to the health aspects of benefit entitlement assessments; for the overview of professional standards in relation to the provision of contracted-out medical services; and for support to the Industrial Injuries Advisory Council.","Department for Work and Pensions","Department for Work and Pensions","Welfare and Wellbeing Group","020 7449 5517","wwg@dwp.gsi.gov.uk","WWG2","0","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dwp/post/WWG5","/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls","person289"
