"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"3","Jonathan Brearley","SCS2","Energy Markets and Networks","Address critical issues in the UK Energy Market - including electricity market reform, security of supply and the future of electricity networks","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","2","154642","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/3","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person4"
"96","N/D","SCS1","Head of Institutional Change","Lead Institutional Change team","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","3","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/96","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person90"
"56","N/D","SCS1","Deputy Director, Legal: Corporate and Renewables","To provide legal advice on corporate matters and renewables","Department of Energy and Climate Change","Department of Energy and Climate Change","Operations Group","0300 060 4000","correspondence@decc.gsi.gov.uk","41","303300","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/decc/post/56","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person52"
"59","N/D","SCS1","Deputy Director, Legal: Energy Efficiency, Planning and Strategy","To provide legal advice on energy efficiency, planning and strategy","Department of Energy and Climate Change","Department of Energy and Climate Change","Operations Group","0300 060 4000","correspondence@decc.gsi.gov.uk","41","471798","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/decc/post/59","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person55"
"17","N/D","SCS1","Head of Offshore Renewables","The Offshore Renewables Team in ORED is responsible for promoting the deployment of offshore wind, marine technologies and hydropower.","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","9","708444","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/17","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person16"
"61","N/D","SCS1","Climate Change Economics (Acting)","Working to reduce greenhouse gas emissions from activities in the UK","Department of Energy and Climate Change","Department of Energy and Climate Change","International Climate Change and Energy Efficiency","0300 060 4000","correspondence@decc.gsi.gov.uk","76","796069","1","0","0","","Economics","","","http://reference.data.gov.uk/id/department/decc/post/61","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person57"
"2","Simon Virley","SCS3","Director General, Energy Markets and Infrastructure","Director General in charge of energy policy","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","1","999754","1","140000","144999","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/2","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person3"
"63","N/D","SCS1","Head of DECC Delivery Unit","Improving the likelihood that DECC achieves its objectives through targeted support and challenge to policy and delivery teams. Also coordinate assurance, approvals, performance management, risk reporting and project & programme management across DECC.","Department of Energy and Climate Change","Department of Energy and Climate Change","Operations Group","0300 060 4000","correspondence@decc.gsi.gov.uk","45","398387","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/63","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person59"
"46","N/D","SCS1","Deputy Director, Strategy Projects","Flexible project team providing advice on strategy and policy for a secure, cost effective transition to a low carbon economy: as at 30/9/11 undertaking work on the bio energy, agriculture & waste sectors","Department of Energy and Climate Change","Department of Energy and Climate Change","Strategy and Evidence Group","0300 060 4000","correspondence@decc.gsi.gov.uk","39","N/D","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/46","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person42"
"72","N/D","SCS1","Deputy Programme Director Smart Metering","Rollout and Consumer Engagement","Department of Energy and Climate Change","Department of Energy and Climate Change","International Climate Change and Energy Efficiency","0300 060 4000","correspondence@decc.gsi.gov.uk","97","359774","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/72","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person67"
"87","N/D","SCS1","Head of Renewable Heat Premium Payment (Acting)","To develop Renewable Heat Premium Payment policy","Department of Energy and Climate Change","Department of Energy and Climate Change","International Climate Change and Energy Efficiency","0300 060 4000","correspondence@decc.gsi.gov.uk","100","N/D","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/87","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person81"
"53","N/D","SCS1","Deputy Director, Legal: Downstream Energy","To provide legal advice on energy markets (including electricity market reform and the EUs internal energy market measures); the offshore transmission regime; energy resilience; and fuel poverty","Department of Energy and Climate Change","Department of Energy and Climate Change","Operations Group","0300 060 4000","correspondence@decc.gsi.gov.uk","41","494232","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/decc/post/53","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person49"
"39","Ravi Gurumurthy","SCS2","Strategy Director","Responsible for the strategy and communications directorates","Department of Energy and Climate Change","Department of Energy and Climate Change","Strategy and Evidence Group","0300 060 4000","correspondence@decc.gsi.gov.uk","1","1512788","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/39","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person35"
"16","N/D","SCS1","Head of System Balancing & Retail Markets","To develop policy on system balancing & retail markets","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","3","543678","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/16","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person15"
"89","N/D","SCS1","Head, Renewable Heat Incentive","Responsible for leading the development and implementation of the Renewable Heat Incentive","Department of Energy and Climate Change","Department of Energy and Climate Change","International Climate Change and Energy Efficiency","0300 060 4000","correspondence@decc.gsi.gov.uk","100","316183","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/89","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person83"
"6","Adam Dawson","SCS2","Office of Carbon Capture and Storage","Director and Chief Executive of the Office of Carbon Capture and Storage","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","2","N/D","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/department/decc/post/6","/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls","person7"
