"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"PSO002","N/D","SCS1","Principal Private Secretary - Office of the Permanent Secretary & Honours Team","'Responsible for: Direct Pr/Off support to the Perm Sec; Management of Perm Sec's Private Office; Management of the Honours Team for Health & Social Care; Liaison between Perm Sec, Secretary Of State & No.10/HMT/Cabinet Office; Lead on: finance issues; departmental capability; and departmental governance.'","Department of Health","Department of Health","DH Permanent Secretary - Private Office","020 7210 4850","N/D","CDD005","308872","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/department/dh/post/PSO002","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","person49"
"HIP003","Prof David Salisbury","SCS2","Director of Immunisation","'Director of Immunisation.'","Department of Health","Department of Health","Health Improvement & Protection Directorate","020 7210 4850","N/D","HIP001","0","1","115000","119999","","Medicine","","","http://reference.data.gov.uk/id/department/dh/post/HIP003","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","person52"
"IMP009","N/D","SCS1","Deputy QIPP Delivery Director","Responsible for Direct Programme Management for all of the QIPP National Workstreams'","Department of Health","Department of Health","National Director for Improvement & Efficiency","020 7210 4850","N/D","IMP008","0","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dh/post/IMP009","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","person147"
"CD009","N/D","SCS1","Deputy Director Head of Commissioning Analysis and Intelligence","'Responsible for Provision of analytical input across the Directorate.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","1125538","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dh/post/CD009","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","person95"
"CD028","N/D","SCS1","Lead for GP Engagement work stream and running costs","Responsible for: GP Engagement Work within the Commissioning Support Workstream","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","0","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dh/post/CD028","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","person114"
"FPO009","N/D","SCS1","Deputy Director - Gateway Reviews - Estates & Facilities Division","'Responsible for the delivery of the following programmes: Health Gateway Reviews, Procure21/ Procure 21+ Frameworks Estates Informatics, Premises Assurance NHS Sustainability, Best Practice in the Physical Environment'","Department of Health","Department of Health","NHS Finance Performance & Operations Directorate","020 7210 4850","N/D","FPO008","2408793","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dh/post/FPO009","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","person156"
"PSF011","N/D","SCS1","Deputy Director Senior Economic Advisor","'Baseline Pressures Analysis Reporting & Accountability (Departmental Report & Public Expenditure Inquiry) Analytical Support to P&SF Option appraisal major investment schemes Measurement of NHS productivity and performance reporting to DB Economic and finance evidence to Pay Review Bodies.'","Department of Health","Department of Health","Policy Strategy & Finance Directorate","020 7210 4850","N/D","PSF010","604673","1","N/D","N/D","","Economics","","","http://reference.data.gov.uk/id/department/dh/post/PSF011","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","person230"
"PSF035","N/D","SCS1","Deputy Director - Change and Transition Manager","Deputy Transition Director HRA","Department of Health","Department of Health","Policy Strategy & Finance Directorate","020 7210 4850","N/D","PSF008","0","1","N/D","N/D","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/department/dh/post/PSF035","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","person251"
"MD028","N/D","SCS1","Managing Director Medical Education England","'Medical Education England. ANDPB that advises SofS on education, training, workforce planning for doctors, scientists, dentists and pharmacists.'","Department of Health","Department of Health","NHS Medical Directorate","020 7210 4850","N/D","MD001","0","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dh/post/MD028","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","person196"
"CNO015","N/D","SCS1","Deputy Chief Nursing Officer","'Responsible for Acute and Specialist Services Nursing Policy Development CNO/Nurse Executive Director meetings Nursing Professional Bodies Emergency Care  Acute Services Midwifery. Health Visitors.'","Department of Health","Department of Health","Chief Nursing Officer's Directorate","020 7210 4850","N/D","CNO001","426790","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/dh/post/CNO015","/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls","person16"
