"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"HO_EBBP106","","SCS1","Head of Function - Environment and Business","Lead and manage all aspects of business and people related activity in the area in order to ensure the corporate business plan is delivered at local level. Contribute to the leadership and progress of the Local Business Unit as a member of its Management.","Department for Environment, Food and Rural Affairs","Environment Agency","Head Office - Environment and Business - Business Performance and Regulation","08708506506","enquiries@environment-agency.gov.uk","HO_EBRI001","74258","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/environment-agency/post/HO_EBBP106","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","person126"
"CY_MCU10v3","","SCS1","Head of Function - Operations Wales","Leads on corporate services matters affecting EA Wales.","Department for Environment, Food and Rural Affairs","Environment Agency","Wales - Wales Office - Corporate Services","08708506506","enquiries@environment-agency.gov.uk","CY_MDI10v2","2207939","1","0","0","","Planning","","","http://reference.data.gov.uk/id/public-body/environment-agency/post/CY_MCU10v3","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","person112"
"HO_NHOD100v4","","SCS1","Head of Function - National Operations","Head Office Operations�provides secretariat�and business support�to the Director and Deputy Director of Operations.��It represents�local�Operations teams�nationally and translate the national 'ask' into local delivery.","Department for Environment, Food and Rural Affairs","Environment Agency","Head Office - National Operations - Operations Planning & Development - Planning Performance & Communications - Planning & Performance","08708506506","enquiries@environment-agency.gov.uk","HO_NHO000v2","870354","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/environment-agency/post/HO_NHOD100v4","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","person155"
"NW_REP1000","","SCS1","Head of Function - Operations North West","Lead, direct, motivate and monitor the environment and performance activities of the business unit as an integrated team, setting the strategic direction for customer engagement, to deliver environmental outcomes in an effective, efficient and safe manner. Contribute to the leadership and progress of the business unit.","Department for Environment, Food and Rural Affairs","Environment Agency","North West - North West Office - Regional Environmental Planning","08708506506","enquiries@environment-agency.gov.uk","NW_EARDv3","1668054","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/environment-agency/post/NW_REP1000","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","person148"
"CY_MSU10v2","Ceri Davies","SCS2","Head of Strategy Unit Wales","Leads on strategic matters affecting environmental outcomes for EA Wales.","Department for Environment, Food and Rural Affairs","Environment Agency","Wales - Wales Office - Strategic Unit Wales","08708506506","enquiries@environment-agency.gov.uk","CY_MDI10v2","4192638","1","70000","74999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/environment-agency/post/CY_MSU10v2","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","person36"
"HO_NEAS001","","SCS1","Head of Function - National Operations","Responsible for managing the environmental assessment of Environment Agency capital and revenue works.","Department for Environment, Food and Rural Affairs","Environment Agency","Head Office - National Operations - National Operations Services - National Environmental Assessment Service","08708506506","enquiries@environment-agency.gov.uk","HO_NOS001v3","1745705","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/environment-agency/post/HO_NEAS001","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","person86"
"SW_RA1000v4","Richard Cresswell","SCS2","Director, SW","Provide strategic direction in the protection and enhancement of the environment in the business unit and contribute to protect and enhance the environment across the South West, within the scope of Environment Agency responsibility and influence.","Department for Environment, Food and Rural Affairs","Environment Agency","South West - South West Office","08708506506","enquiries@environment-agency.gov.uk","HO_NHO000v2","310723","1","105000","109999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/environment-agency/post/SW_RA1000v4","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","person17"
"NW_NNA1","","SCS1","Head of Function - Operations North West","Lead and manage all aspects of business and people related activity in the area in order to ensure the corporate business plan is delivered at local level. Contribute to the leadership and progress of the Local Business Unit as a member of its Management.","Department for Environment, Food and Rural Affairs","Environment Agency","North West - North","08708506506","enquiries@environment-agency.gov.uk","NW_EARDv3","10935995","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/environment-agency/post/NW_NNA1","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","person132"
"HO_NHO103v2","","SCS1","Head of Function - Operations","Generic Manager of Business for given area of responsibility.","Department for Environment, Food and Rural Affairs","Environment Agency","Head Office - Operations - Director of Operations - Water Framework Directive","08708506506","enquiries@environment-agency.gov.uk","HO_NHO000v2","77811","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/environment-agency/post/HO_NHO103v2","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","person41"
"HO_NHP000v2","Graham Ledward","SCS3","Director of Resources","Current portfolio includes Human Resources, Corporate Information Services, Legal Services, Internal Environment Management, Estates and Fleet Management.","Department for Environment, Food and Rural Affairs","Environment Agency","Head Office - Resources","08708506506","enquiries@environment-agency.gov.uk","HO_NHE001","792118","1","150000","154999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/environment-agency/post/HO_NHP000v2","/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls","person9"
