"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"13410","Christopher Wood","SCS2","DHM Beijing","Representing British interests in China","Foreign and Commonwealth Office","Foreign and Commonwealth Office","Asia Pacific Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","13400","0","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/fco/post/13410","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","person107"
"19200","Alex Ellis","SCS2","Director Strategy","Providing high level advice on strategy","Foreign and Commonwealth Office","Foreign and Commonwealth Office","Strategy","0207 008 1500","dp-foi.img@fco.gov.uk","10000","547885","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/fco/post/19200","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","person30"
"13308","Tim Barrow","SCS2","Political and Security Committee Ambassador to the EU","Representing British interests at the EU","Foreign and Commonwealth Office","Foreign and Commonwealth Office","Europe Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","13300","0","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/department/fco/post/13308","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","person86"
"11302","Tom Phillips","SCS3","HMA Riyadh","Representing British interests in Saudi Arabia","Foreign and Commonwealth Office","Foreign and Commonwealth Office","Middle East & North Africa Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11300","0","1","135000","139999","","Policy","","","http://reference.data.gov.uk/id/department/fco/post/11302","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","person46"
"14500","David Meyer","SCS2","Chief Information Officer","Leading delivery of information technology services","Foreign and Commonwealth Office","Foreign and Commonwealth Office","Information & Technology Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","14000","5762517","1","120000","124999","","Information Technology","","","http://reference.data.gov.uk/id/department/fco/post/14500","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","person28"
"16000","","SCS3","Legal Adviser","Providing legal advice","Foreign and Commonwealth Office","Foreign and Commonwealth Office","PUS","","","10000","2527198","","","","","","","","http://reference.data.gov.uk/id/department/fco/post/16000","",""
"13319","Ric Todd","SCS2","HMA Warsaw","Representing British interests in Poland","Foreign and Commonwealth Office","Foreign and Commonwealth Office","Europe Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","13300","0","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/department/fco/post/13319","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","person97"
"11201","Mariot Leslie","SCS3","Ambassador and Permanent Representative to NATO","Representing British interests at NATO","Foreign and Commonwealth Office","Foreign and Commonwealth Office","International Institutions Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11200","0","1","120000","124999","","Policy","","","http://reference.data.gov.uk/id/department/fco/post/11201","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","person41"
"13304","Giles Paxman","SCS3","HMA Madrid","Representing British interests in Spain","Foreign and Commonwealth Office","Foreign and Commonwealth Office","Europe Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","13300","0","1","110000","114999","","Policy","","","http://reference.data.gov.uk/id/department/fco/post/13304","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","person82"
"11306","Simon Collis","SCS2","HMA Damascus","Representing British interests in Syria","Foreign and Commonwealth Office","Foreign and Commonwealth Office","Middle East & North Africa Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11300","0","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/fco/post/11306","/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls","person50"
