"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"LIC_HEAD","N/D","SCS1","Head of Licensing","Responsible for the delivery of the Commissions licence assessment and enquiry / contact management functions. Also assists in the development of Licensing policy and the provision of advice on licensing matters.","Department for Culture, Media and Sport","Gambling Commission","Regulatory","0121 230 6666","licensing@gamblingcommission.gov.uk","REG_DIR","986725","1","65000","69999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/gambling-commission/post/LIC_HEAD","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","person11"
"BSI_HEAD","N/D","SCS1","Head of Business Strategy and Information Management","Responsible for leading development of the Commissions business plan providing business analysis and handling of information management.","Department for Culture, Media and Sport","Gambling Commission","Strategy Research and Analysis","0121 230 6666","policy@gamblingcommission.gov.uk","SRA_DIR","143744","1","55000","59999","","Policy","","","http://reference.data.gov.uk/id/public-body/gambling-commission/post/BSI_HEAD","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","person9"
"SRA_DIR","Matthew Hill","SCS1","Director of Strategy Research and Analysis","Responsible for the policy and research intelligence information management business strategy and ICT functions. Also responsible for coordinating business planning developing and maintaining statutory guidance and overseeing information and intelligence management.","Department for Culture, Media and Sport","Gambling Commission","Strategy Research and Analysis","0121 230 6666","policy@gamblingcommission.gov.uk","CEO","463299","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/public-body/gambling-commission/post/SRA_DIR","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","person4"
"INTEL_HEAD","N/D","SCS1","Head of Intelligence","Responsible for gathering and analysing intelligence information to understand what is happening in the gambling world and enable us to prioritise operational activity.","Department for Culture, Media and Sport","Gambling Commission","Strategy Research and Analysis","0121 230 6666","intelligence@gamblingcommission.gov.uk","SRA_DIR","277159","1","50000","54999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/gambling-commission/post/INTEL_HEAD","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","person14"
"LEG_DIR","Neil McArthur","SCS1","Director of Legal","Overall responsibility for the Commissions legal work including the provision of advice to the Commission on the operation of the regulatory regime and support to the Commissions regulatory panel.","Department for Culture, Media and Sport","Gambling Commission","Legal","0121 230 6666","notify@gamblingcommission.gov.uk","CEO","147056","1","80000","84999","","Law","","","http://reference.data.gov.uk/id/public-body/gambling-commission/post/LEG_DIR","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","person6"
"FIN_DIR","Julie Grant","SCS1","Director of Finance","Responsible for the Commission finances including income and expenditure budgeting systems of financial control and management. Liaison with internal and external auditors and preparation of annual accounts.","Department for Culture, Media and Sport","Gambling Commission","Finance","0121 230 6666","corporateservices@gamblingcommission.gov.uk","CEO","196294","1","75000","79999","","Finance","","","http://reference.data.gov.uk/id/public-body/gambling-commission/post/FIN_DIR","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","person7"
"POD_DIR","Justine Kenny","SCS1","Director of People and Organisational Development","Responsible for improving organisational effectiveness providing HR leadership and strategic advice ensuring that HR management is strong adds value to the business and remains compliant with all employment health and safety legislation and best practice requirements.","Department for Culture, Media and Sport","Gambling Commission","People and Organisational Development","0121 230 6666","people@gamblingcommission.gov.uk","CEO","157913","1","90000","94999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/gambling-commission/post/POD_DIR","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","person5"
"ICT_HEAD","N/D","SCS1","Head of ICT","Responsible for providing ICT support to the Commission.","Department for Culture, Media and Sport","Gambling Commission","Strategy Research and Analysis","0121 230 6666","info@gamblingcommission.gov.uk","SRA_DIR","253421","1","55000","59999","","Information Technology","","","http://reference.data.gov.uk/id/public-body/gambling-commission/post/ICT_HEAD","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","person10"
"HERC_HEAD","N/D","SCS1","Head of Enforcement and Regional Compliance","Responsible for remote regional compliance and both remote and central enforcement work in accordance with the Commissions regulatory and legal framework.","Department for Culture, Media and Sport","Gambling Commission","Regulatory","0121 230 6666","regulation@gamblingcommission.gov.uk","REG_DIR","1911848","1","60000","64999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/gambling-commission/post/HERC_HEAD","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","person12"
"REG_DIR","Nicholas Tofiluk","SCS1","Director of Regulation","Responsible for the operation of licensing compliance and enforcement regimes. This includes the licence application and maintenance arrangements for operators and individuals the activity of the regional compliance teams and the national compliance leads and the enforcement activity conducted against unlawful operators","Department for Culture, Media and Sport","Gambling Commission","Regulatory","0121 230 6666","regulation@gamblingcommission.gov.uk","CEO","260128","1","100000","104999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/gambling-commission/post/REG_DIR","/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls","person3"
