"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"7479160","N/D","SCS1","Head of Estates & Facilities","Accountable for the management of the HPA Estates & Facilities function","Department of Health","Health Protection Agency","Finance and Resources Division","020 8327 6647","Cfi-pressoffice@hpa.org.uk","1333082","200000","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/7479160","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person46"
"5238701","Stephen Inglis","SCS2","Executive Director","Accountable for the executive management of the National Institute of Biological Standards & Control","Department of Health","Health Protection Agency","National Institute for Biological Standards and Control","020 8327 6647","Cfi-pressoffice@hpa.org.uk","6542975","1530305","1","160000","164999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/5238701","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person6"
"1332570","N/D","SCS1","Regional Director","Accountable for the management of the East of England region of Health Protection Servives","Department of Health","Health Protection Agency","Health Protection Services","020 8327 6647","Cfi-pressoffice@hpa.org.uk","8534754","2759045","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/1332570","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person17"
"1333093","N/D","SCS1","Regional Director","Accountable for the management of the North West region of Health Protection Services","Department of Health","Health Protection Agency","Health Protection Services","020 8327 6647","Cfi-pressoffice@hpa.org.uk","8534754","3036699","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/1333093","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person23"
"1950301","N/D","SCS1","Head of Legal Affairs","Accountable for the management of the HPA Legal function","Department of Health","Health Protection Agency","Finance and Resources Division","020 8327 6647","Cfi-pressoffice@hpa.org.uk","1333082","200000","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/1950301","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person42"
"8461754","N/D","SCS1","Deputy Director National Specialist Epidemology and Intelligence","Accountable for Specialist Epidemiology & Surveillance Teams. Professional Leadership for regional Information Manager","Department of Health","Health Protection Agency","Health Protection Services","020 8327 6647","Cfi-pressoffice@hpa.org.uk","8534754","9523193","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/8461754","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person51"
"7295073","Anne Christine McCartney","SCS2","Executive Director","Accountable for the executive management of the Microbiology Services","Department of Health","Health Protection Agency","Microbiology Services","020 8327 6647","Cfi-pressoffice@hpa.org.uk","6542975","1100691","1","140000","144999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/7295073","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person8"
"2516334","N/D","SCS1","Deputy Director of Research & Development","Accountable as Deputy for the management of HPA Research & Development function","Department of Health","Health Protection Agency","Research and Development Division","020 8327 6647","Cfi-pressoffice@hpa.org.uk","2812394","200000","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/2516334","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person38"
"5241785","N/D","SCS1","Head of Biotherapeutics","Accountable for the management of the Biotherapeutics Department at the National Institute of Biological Standards & Control","Department of Health","Health Protection Agency","National Institute for Biological Standards and Control","020 8327 6647","Cfi-pressoffice@hpa.org.uk","5238701","2573979","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/5241785","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person36"
"7756872","N/D","SCS1","Head of Business Development","Accountable for the management of the HPA Business Development function","Department of Health","Health Protection Agency","Finance and Resources Division","020 8327 6647","Cfi-pressoffice@hpa.org.uk","1333082","520519","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/7756872","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person44"
"8534754","Vacant","SCS2","Executive Director","Accountable for the executive management of the Health Protection Services","Department of Health","Health Protection Agency","Health Protection Services","N/A","N/A","6542975","200000","1","155000","159999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/8534754","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person5"
"5669690","N/D","SCS1","Interim Deputy Director of Health Protection Services - Director of Emergency Perparedness","Accountable for Emergency Response Department. Health Protection Services","Department of Health","Health Protection Agency","Health Protection Services","020 8327 6647","Cfi-pressoffice@hpa.org.uk","8534754","2148052","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/5669690","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person50"
"6257295","N/D","SCS1","Deputy Director:Head of specialist Microbiolgy Services","Accountable for Specialist Microbiology Services","Department of Health","Health Protection Agency","Microbiology Services","020 8327 6647","Cfi-pressoffice@hpa.org.uk","7295073","24249040","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/6257295","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person48"
"5603454","N/D","SCS1","Deputy Director","As Deputy Director for the Centre for Radiation Chemical & Environmental Hazards accountable for a section of the centre","Department of Health","Health Protection Agency","Centre for Radiation Chemicals and Environmental Hazards (CRCE/HPA Radiation Chemical and Environment)","020 8327 6647","Cfi-pressoffice@hpa.org.uk","5603343","3771091","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/5603454","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person27"
"1533521","vacant","SCS1","Head of Information Systems","Accountable for the management of the HPA Information Systems Department","Department of Health","Health Protection Agency","Finance and Resources Division","N/A","N/A","1333082","2123211","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/1533521","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person45"
"6843658","N/D","SCS1","Head of Health & Safety","Accountable for the management of the HPA Health & Safety function","Department of Health","Health Protection Agency","Finance and Resources Division","020 8327 6647","Cfi-pressoffice@hpa.org.uk","1333082","1127373","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/6843658","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person41"
"5771173","N/D","SCS1","Deputy Director","As Deputy Director for the Centre for Radiation Chemical & Environmental Hazards accountable for a section of the centre","Department of Health","Health Protection Agency","Centre for Radiation Chemicals and Environmental Hazards (CRCE/HPA Radiation Chemical and Environment)","020 8327 6647","Cfi-pressoffice@hpa.org.uk","5603343","4306138","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/5771173","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person28"
"5240958","N/D","SCS1","Head of Virology/Deputy Director","Accountable for the management of the Virology Department at the National Institute of Biological Standards & Control and deputy director of the institute","Department of Health","Health Protection Agency","National Institute for Biological Standards and Control","020 8327 6647","Cfi-pressoffice@hpa.org.uk","5238701","1756669","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/health-protection-agency/post/5240958","/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls","person31"
