"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"LBS37","","SCS1","Customer Relationship Manager","LBS is responsible for over 770 of the largest businesses that pay a significant proportion of the total business taxes and duties that HMRC collects. Each business has a Customer Relationship Manager (CRM) who is responsible for managing the overall relationship with the customer and all aspects of the customer�s tax affairs","Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Large Business Service","020 7147 2412","ContactUs@hmrc.gsi.gov.uk","LBS6","0","1","N/D","N/D","","Tax Professionals","","","http://reference.data.gov.uk/id/department/hmrc/post/LBS37","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","person256"
"ECSM6","","SCS1","Environmental & Transport Taxes","ECSM are accountable for the design, integrity and management of customs, excise and stamp duties and environmental taxes, including HMRC�s relationship with UKBA. We also produce trade-related national statistics and supervise four business sectors under the money laundering regulations","Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Excise, Customs, Stamps & Money","020 7147 2412","ContactUs@hmrc.gsi.gov.uk","ECSM1","1269000","0.6","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/hmrc/post/ECSM6","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","person120"
"CO7","","SCS1","Deputy Operational Director PSA","Customer Operations plays a vital role in handling the tax affairs of many millions of customers in the UK. Our staff deal with tax returns, �exceptions� worklists and correspondence, and what we do affects every individual in the UK who pays income tax. Customer Operations PSA (Pay As You Earn and Self Assessment) handles tax returns, worklists and correspondence, and deals with employers, self-employed people, pensioners and employees. Customer Operations NIC&EO (National Insurance Contributions and Employer Office) records and maintains National Insurance Contributions from employers, self-employed people and personal pension contributors, and deals with a large number of employers� records","Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Customer Operations","020 7147 2412","ContactUs@hmrc.gsi.gov.uk","CO4","0","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/department/hmrc/post/CO7","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","person299"
"LBS14","","SCS1","Customer Relationship Manager","LBS is responsible for over 770 of the largest businesses that pay a significant proportion of the total business taxes and duties that HMRC collects. Each business has a Customer Relationship Manager (CRM) who is responsible for managing the overall relationship with the customer and all aspects of the customer�s tax affairs","Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Large Business Service","020 7147 2412","ContactUs@hmrc.gsi.gov.uk","LBS9","0","1","N/D","N/D","","Tax Professionals","","","http://reference.data.gov.uk/id/department/hmrc/post/LBS14","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","person14"
"L3","Alan Evans","SCS2","Director Business Tax","Solicitor's Office provides legal services to the whole of HMRC. This includes the provision of legal advice to the Board and staff; work on new legislation, draft statutory instruments and other legal documents, and conduct of tribunal and civil litigation on a very full range of services.","Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Solicitor's Office","020 7147 2412","ContactUs@hmrc.gsi.gov.uk","L1","841000","1","90000","94999","","Law","","","http://reference.data.gov.uk/id/department/hmrc/post/L3","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","person77"
"P1","Mike Falvey","SCS3","Director General, Chief People Officer","The aim of People Function is to ensure that HMRC has at the heart of everything it does our people, the community, the environment and our customers. Create a working environment which motivates and develops our people to give of their best and take pride in working for HMRC in order to contribute to the transformation of our business","Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","People Function","020 7147 2412","ContactUs@hmrc.gsi.gov.uk","CE1","694000","1","175000","179999","","Human Resources","","","http://reference.data.gov.uk/id/department/hmrc/post/P1","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","person81"
"CP8","","SCS1","Information Strategy","The Central Tax Policy team provides technical and policy advice covering administrative frameworks, future policy and legislation, policy improvement and professionalism","Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Central Policy","020 7147 2412","ContactUs@hmrc.gsi.gov.uk","CP3","749000","1","N/D","N/D","","Policy","","","http://reference.data.gov.uk/id/department/hmrc/post/CP8","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","person20"
"BT4","","SCS1","Business Tax PaceSetter Lead","The Business Tax part of HMRC combines the product and process ownership and design of the main business taxes, plus strategy for Small and Medium Enterprises and large businesses, and the Large Business Service which deals with the affairs of the 800 biggest multinationals. The SME operation in HMRC is largely run through our compliance shared services. We are also responsible for running Businesslink.gov � the cross-Government web service for businesses � and cross-HMRC IT programmes for business, including online filing","Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Business Tax Enabling","020 7147 2412","ContactUs@hmrc.gsi.gov.uk","BT3","601000","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/department/hmrc/post/BT4","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","person233"
"CC11","","SCS1","Head of Future Service Delivery Project, Personal Tax","Customer Contact handles the majority of customer initiated contact to service levels agreed with the customer units. We help our customers pay what they owe and claim what they are entitled to. We do this by providing accurate and easy to understand information, support and guidance when our customers need it","Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Customer Contact","020 7147 2412","ContactUs@hmrc.gsi.gov.uk","CC1","604000","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/department/hmrc/post/CC11","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","person27"
"CI7","","SCS1","Deputy Director Wales West & N Ireland","The Criminal Investigation Directorate provides HMRC with an effective investigation arm to enforce the Exchequer�s Compliance Policies and deliver against the strategic responsibilities across direct, indirect tax, criminal finance and excise regimes.","Her Majesty's Revenue and Customs","Her Majesty's Revenue and Customs","Criminal Investigation","020 7147 2412","ContactUs@hmrc.gsi.gov.uk","CI3","9654000","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/department/hmrc/post/CI7","/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls","person164"
