"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"1HMIC05","'Eliminated'","SCS1","Programme Director - Police Governance Review","'The Programme Director - Police Governance Review is responsible for delivering HMIC's police authority inspection programme.'","Home Office","HM Inspectorate of Constabulary","Police Governance Review","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV02","0","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/1HMIC05","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person16"
"1HMIC01","N/D","SCS1","Chief Operating Officer","'The Chief Operating Officer is responsible for execution of the HMIC Board's strategy. This includes developing and implementing HMIC's operating model and running HMIC's inspection support services. He is also HMIC's Senior Responsible Owner for the evolution of the Police Report Card and is a HMIC Board member.'","Home Office","HM Inspectorate of Constabulary","Chief Operating Officer","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","900000","1","0","0","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/1HMIC01","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person7"
"EQV01","Roger Baker","SCS2","HM Inspector of Constabulary Northern Region","'HMI Northern has responsibility for police forces in the north of England. HMI Northern is Senior Responsible Owner for HMIC's value for money programme and is a HMIC Board member.'","Home Office","HM Inspectorate of Constabulary","Northern Region","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","900000","1","185000","189999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/EQV01","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person3"
"EQV16","N/D","SCS1","Collaboration lead","'Lead on Collaboration programme'","Home Office","HM Inspectorate of Constabulary","Eastern Region","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV02","0","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/EQV16","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person15"
"1HMIC07","N/D","SCS1","Programme Director  Police Integrity Review","'The Programme Director - Police Integrity Review is responsible for delivering HMIC's police aspects of the police integrity programme.'","Home Office","HM Inspectorate of Constabulary","Police Integrity Review","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV01","0","1","0","0","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/1HMIC07","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person11"
"EQV02","Zoe Billingham","SCS2","HM Inspector of Constabulary Eastern Region","'HMI Eastern has responsibility for police forces in the east of England. HMI Eastern is Senior Responsible Owner for HMIC's police authority inspection programme and is a HMIC Board member.'","Home Office","HM Inspectorate of Constabulary","Eastern Region","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","910000","1","185000","189999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/EQV02","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person4"
"1HMIC08","N/D","SCS1","Public Order Review","'The Programme Director - Police Governance Review is responsible for delivering HMIC's police authority inspection programme.'","Home Office","HM Inspectorate of Constabulary","Public Order Review","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV02","0","1","0","0","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/1HMIC08","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person8"
"1HMIC06","'Eliminated'","SCS1","Programme Director  Valuing the Police","'The Programme Director - Valuing the Police is responsible for co-ordinating HMIC's value for money programme.'","Home Office","HM Inspectorate of Constabulary","Valuing the Police","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV01","0","1","0","0","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/1HMIC06","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person17"
"1HMIC02","N/D","SCS1","Head of Workforce","'The Head of Workforce is responsible for HMIC's value for money fieldwork, general police workforce advice and is a HMIC Board member.'","Home Office","HM Inspectorate of Constabulary","Workforce","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","390000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/1HMIC02","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person9"
"EQV04","'Vacant'","SCS2","HM Inspector of Constabulary National","'HMI National has responsibility for the Metropolitan Police Service, the Police Service of Northern Ireland, the City of London Police, the British Transport Police, SOCA, HMRC, Ministry of Defence Police, Civil Nuclear Constabulary, Jersey, Guernsey, Cyprus and the Royal Gibraltar Police. HMI National is also the HMIC's Senior Responsible Owner for Counter Terrorism, Protection from Serious Harm, the Olympic Games (2012), and is a HMIC Board member.'","Home Office","HM Inspectorate of Constabulary","National","N/A","Haveyoursay@hmic.gsi.gov.uk","EQV05","1040000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/EQV04","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person5"
"2HMIC02","'Vacant'","SCS2","Assistant Inspector of Constabulary","'Leading on the VtP programme'","Home Office","HM Inspectorate of Constabulary","National","N/A","Haveyoursay@hmic.gsi.gov.uk","EQV05","0","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/2HMIC02","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person14"
"2HMIC01","Jo Kaye","SCS2","Assistant Inspector of Constabulary","'Currently leading on the Public Order Review'","Home Office","HM Inspectorate of Constabulary","Specialist Operations","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","0","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/2HMIC01","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person12"
"EQV06","Drusilla Sharpling","SCS2","HM Inspector of Constabulary Western Region","'HMI Western has responsibility for police forces in the west of England and in Wales. HMI Western is also Senior Responsible Owner for HMIC's criminal justice programme plus its work on rape and is a HMIC Board member.'","Home Office","HM Inspectorate of Constabulary","Western Region","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","1520000","1","190000","194999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/EQV06","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person6"
"EQV05","Denis O'Connor","SCS3","HM Chief Inspector of Constabulary","'HM Chief Inspector Of Constabulary has responsibility for all of HMIC's activities. HM Chief Inspector is Chair of the HMIC Board.'","Home Office","HM Inspectorate of Constabulary","Chief Inspector of Constabulary","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","XX","900000","1","195000","199999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/EQV05","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person2"
"EQV12","N/D","SCS1","Assistant Inspector of Constabulary","'Currently leading on the Police Integrity Review'","Home Office","HM Inspectorate of Constabulary","National","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","0","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/EQV12","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person13"
"1HMIC03","N/D","SCS1","Strategic Analysis Provider","'The Strategic Analysis Provider is responsible for providing analytical support to HMIC operations and is a HMIC Board member.'","Home Office","HM Inspectorate of Constabulary","Strategic Analysis","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","450000","1","0","0","","Knowledge and Information Management (KIM)","","","http://reference.data.gov.uk/id/public-body/hm-inspectorate-of-constabulary/post/1HMIC03","/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls","person10"
