"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"10135","N/D","SCS1","Deputy Director Labour Market Policy","Responsible for employment and welfare policy for working age, DWP and welfare expenditure","HM Treasury","HM Treasury","Labour Market Policy","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19812","601809","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/hm-treasury/post/10135","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","person34"
"10715","N/D","SCS1","Deputy Director, European Institutions and Policy","Responsible for European Economic Reform","HM Treasury","HM Treasury","EU Institutions and Policy","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19576","484258","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/hm-treasury/post/10715","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","person46"
"19736","N/D","SCS1","Deputy Director, Information and Workspace Solutions","Responsible for Managing Business Processes, Systems, Contracts and Service Delivery, ICT and Estates Infrastructure and Sustainability, Information and Knowledge Management, Business Continuity and Departmental Security","HM Treasury","HM Treasury","Information & Workplace Solutions","020 7270 5760","public.enquiries@hm-treasury.gov.uk","10256","1833484","1","0","0","","Information Technology","","","http://reference.data.gov.uk/id/public-body/hm-treasury/post/19736","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","person91"
"20423","N/D","SCS1","Deputy Director, Ministerial Support","Responsible for Ministerial Support","HM Treasury","HM Treasury","Chancellors Office","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19678","1769018","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/hm-treasury/post/20423","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","person98"
"Deleted","N/D","SCS2","Deputy Director, Debt and Reserve Management","[u'Responsible for HR and Corporate Change Management', u'Responsible for Fiscal Group, OBR design issues', u'Responsible for Debt and Reserves Management.', u'Responsible for the Economics Group', u'Responsible for Ministerial Support', u'Responsible for Policy on Income Tax, National Insurance, Residence and Domicile, Inheritance Tax and Charity Tax', u'Responsible for Savings and Investments', u'Responsible for Global Economics', u'Responsible for Finance Professionalism', u""Responsible for implementing the Treasury's internal change programme, enabling the department to improve its performance while meeting its 2010 Spending Review settlement."", u'Responsible for Communications Strategy', u'Responsible for EMB and Secretariat']","HM Treasury","HM Treasury","Finance Professionalism","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19573","0","0.83","40000","44999","","Policy","","","http://reference.data.gov.uk/id/public-body/hm-treasury/post/Deleted","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","person101"
"Deleted","N/D","SCS1","Deputy Director, Debt and Reserve Management","[u'Responsible for HR and Corporate Change Management', u'Responsible for Fiscal Group, OBR design issues', u'Responsible for Debt and Reserves Management.', u'Responsible for the Economics Group', u'Responsible for Ministerial Support', u'Responsible for Policy on Income Tax, National Insurance, Residence and Domicile, Inheritance Tax and Charity Tax', u'Responsible for Savings and Investments', u'Responsible for Global Economics', u'Responsible for Finance Professionalism', u""Responsible for implementing the Treasury's internal change programme, enabling the department to improve its performance while meeting its 2010 Spending Review settlement."", u'Responsible for Communications Strategy', u'Responsible for EMB and Secretariat']","HM Treasury","HM Treasury","Finance Professionalism","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19573","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/hm-treasury/post/Deleted","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","person103"
"Deleted","N/D","SCS1","Deputy Director, Debt and Reserve Management","[u'Responsible for HR and Corporate Change Management', u'Responsible for Fiscal Group, OBR design issues', u'Responsible for Debt and Reserves Management.', u'Responsible for the Economics Group', u'Responsible for Ministerial Support', u'Responsible for Policy on Income Tax, National Insurance, Residence and Domicile, Inheritance Tax and Charity Tax', u'Responsible for Savings and Investments', u'Responsible for Global Economics', u'Responsible for Finance Professionalism', u""Responsible for implementing the Treasury's internal change programme, enabling the department to improve its performance while meeting its 2010 Spending Review settlement."", u'Responsible for Communications Strategy', u'Responsible for EMB and Secretariat']","HM Treasury","HM Treasury","Finance Professionalism","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19573","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/hm-treasury/post/Deleted","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","person110"
"Deleted","N/D","SCS1","Deputy Director, Debt and Reserve Management","[u'Responsible for HR and Corporate Change Management', u'Responsible for Fiscal Group, OBR design issues', u'Responsible for Debt and Reserves Management.', u'Responsible for the Economics Group', u'Responsible for Ministerial Support', u'Responsible for Policy on Income Tax, National Insurance, Residence and Domicile, Inheritance Tax and Charity Tax', u'Responsible for Savings and Investments', u'Responsible for Global Economics', u'Responsible for Finance Professionalism', u""Responsible for implementing the Treasury's internal change programme, enabling the department to improve its performance while meeting its 2010 Spending Review settlement."", u'Responsible for Communications Strategy', u'Responsible for EMB and Secretariat']","HM Treasury","HM Treasury","Finance Professionalism","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19573","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/hm-treasury/post/Deleted","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","person105"
"Deleted","N/D","SCS1","Deputy Director, Debt and Reserve Management","[u'Responsible for HR and Corporate Change Management', u'Responsible for Fiscal Group, OBR design issues', u'Responsible for Debt and Reserves Management.', u'Responsible for the Economics Group', u'Responsible for Ministerial Support', u'Responsible for Policy on Income Tax, National Insurance, Residence and Domicile, Inheritance Tax and Charity Tax', u'Responsible for Savings and Investments', u'Responsible for Global Economics', u'Responsible for Finance Professionalism', u""Responsible for implementing the Treasury's internal change programme, enabling the department to improve its performance while meeting its 2010 Spending Review settlement."", u'Responsible for Communications Strategy', u'Responsible for EMB and Secretariat']","HM Treasury","HM Treasury","Finance Professionalism","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19573","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/hm-treasury/post/Deleted","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","person107"
"Deleted","N/D","SCS1","Deputy Director, Debt and Reserve Management","[u'Responsible for HR and Corporate Change Management', u'Responsible for Fiscal Group, OBR design issues', u'Responsible for Debt and Reserves Management.', u'Responsible for the Economics Group', u'Responsible for Ministerial Support', u'Responsible for Policy on Income Tax, National Insurance, Residence and Domicile, Inheritance Tax and Charity Tax', u'Responsible for Savings and Investments', u'Responsible for Global Economics', u'Responsible for Finance Professionalism', u""Responsible for implementing the Treasury's internal change programme, enabling the department to improve its performance while meeting its 2010 Spending Review settlement."", u'Responsible for Communications Strategy', u'Responsible for EMB and Secretariat']","HM Treasury","HM Treasury","Finance Professionalism","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19573","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/hm-treasury/post/Deleted","/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls","person108"
