"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"2CPG08","Gareth Hills","SCS2","Director National Crime Agency Programme","'Responsible for delivering the programme to establish the National Crime Agency. Member of the CPG Board.'","Home Office","Home Office","National Crime Agency Programme","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","3CPG01","180000","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/ho/post/2CPG08","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","person11"
"1HOS04","N/D","SCS1","Head of Animals in Science Regulation Unit","'The Animals in Science Regulation Unit(ASRU) comprises the policy, licensing and inspectorate staff responsible for administering the Animals (Scientific Procedures) Act 1986 (ASPA) and related regulations. The Policy Team advises ministers on issues related to ASPA and responds to correspondence (including PQs and FOI enquiries) from MPs and the public. Inspectors (all registered medical or veterinary practitioners)provide advice on applications to the Licensing Team who grant the licences on behalf of the Secretary of State. Inspectors also visit registered establishments to check for non-compliance and provide advice on applications and good practice. The majority of visits are unannounced.'","Home Office","Home Office","Animals in Science Regulation Unit","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2HOS02","2600000","1","0","0","","Vets","","","http://reference.data.gov.uk/id/department/ho/post/1HOS04","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","person90"
"1SIIG11","N/D","SCS1","Head of Safeguarding and Public Protection Unit","'The Safeguarding and Public Protection Unit is responsible for the reviews of the vetting and barring scheme and the criminal records regime and for delivering the outcomes of those reviews. The Unit leads for the Home Office on child safeguarding and missing persons and is responsible for implementing the Magee and Bichard agendas in relation to criminality information. The unit sponsors the Security Industry Authority, the Criminal Records Bureau, and the Independent Safeguarding Authority.'","Home Office","Home Office","Safeguarding & Public Protection Unit","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2SIIG05","0","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/ho/post/1SIIG11","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","person136"
"2OSCT03","N/D","SCS2","Director Prevent","'Information withheld on security grounds'","Home Office","Home Office","Prevent","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","3OSCT01","0","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/ho/post/2OSCT03","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","person126"
"1FC04","'Vacant'","SCS1","Head of Home Office IT","'Provides information technology infrastructure and services to Home Office, UK Border Agency, Criminal Records Bureau and some smaller bodies such as HM Inspectorate of Constabulary. HOIT provides IT services to around 28,000 accounts across one main network and circa 200 physical sites based both in the UK and abroad, from large campus sites to small area offices and border ports. In addition, HOIT manages 33,000 landline telephones, plus 1,600 Blackberry mobile computing devices. HOIT also provides a wide range of services to business customers, testing services across Government, and collaborates with other Departments on initiatives such as Cloud Computing.'","Home Office","Home Office","Home Office IT","208 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","2FC04","0","1","0","0","","Information Technology","","","http://reference.data.gov.uk/id/department/ho/post/1FC04","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","person69"
"2SIIG04","Peter Storr","SCS2","Director International Directorate","'The International Director heads the Directorate which delivers the European Union and wider international aspects of Home Office priorities, with its international partners. The Directorate works closely with many Home Office units and agencies, and with other government departments and posts overseas to ensure that the Home Offices international priorities are identified and coherently managed, negotiated and delivered.'","Home Office","Home Office","International Directorate","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","3SIIG01","2160000","1","105000","109999","","Policy","","","http://reference.data.gov.uk/id/department/ho/post/2SIIG04","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","person131"
"2GEO02","Debbie Gupta","SCS2","Director of Policy and Transformation","'Development and Implementation of Policy'","Home Office","Home Office","Government Equalities Office - Policy and Transformation","020 7035 4848","enquiries@geo.gsi.gov.uk","3GEO01","4430000","1","90000","94999","","Policy","","","http://reference.data.gov.uk/id/department/ho/post/2GEO02","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","person75"
"2HR02","Sally Hulks","SCS2","Headquarters HR Director","'The Headquarters HR Directorate is responsible for building the Home Office capability (its leadership, future skills, culture and values) and for delivering HR strategy, advice and support. It advises the organisation on issues of change and organisation design and delivers resourcing, business partnering, health and safety, wellbeing, and HR management information to the business. It plays a key role in delivering solutions in areas such as sickness absence reduction; employee engagement and wellbeing; headcount reduction and redeployment; and e-enabled HR self service.'","Home Office","Home Office","Leadership and Change","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","3HR01","2270000","1","120000","124999","","Human Resources","","","http://reference.data.gov.uk/id/department/ho/post/2HR02","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","person100"
"2SIIG06","Phil Duffy","SCS2","Director of Immigration and Border Policy Directorate","'Provide effective policy advice to support the governments objective of reducing net migration; Provide a strategic policy framework to protect the UK from illegal immigration, crime and terrorism, through effective end-to end border controls; Provide an effective set of policies that protect the public by removing illegal immigrants, deporting foreign national criminals and denying the privileges of British nationality to those who harm the UK; Support an effective asylum system, through effective policies, both in the UK and in Europe; Ensure we have a fit for purpose legal framework, and manage litigation effectively'","Home Office","Home Office","Immigration & Border Policy Directorate","0207 035 4848 or Minicom 0207 035 4742","public.enquiries@homeoffice.gsi.gov.uk","3SIIG01","900000","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/ho/post/2SIIG06","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","person134"
"1GEO06","N/D","SCS1","Deputy Director, Central Services","'Business Planning, Equality Strategy, Parliamentary work and Resource Planning and Change'","Home Office","Home Office","Government Equalities Office - Central Unit","020 7035 4848","enquiries@geo.gsi.gov.uk","2GEO02","430000","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/department/ho/post/1GEO06","/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls","person76"
