"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"3","","SCS2","Deputy Chair","Deputy Chair of the Commission, appointed by the Secretary of State. Responsible for conducting examinations and determining applications for development consent on Nationally Significant Infrastructure Projects.","Department for Communities and Local Government","Infrastructure Planning Commission","Commissioners","0303 444 5000","commissioners@infrastructure.gsi.gov.uk","1","0","1","125000","129999","","Planning","","","http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission/post/3","/data/infrastructure/2011-03-31/110523_government-staff-and-salary-data-blank-template---March-2011.xls","person4"
"5","","SCS2","Commissioner","Commissioner appointed by Secretary of State. Responsible for conducting examinations and determining applications for development consent on Nationally Significant Infrastructure Projects.","Department for Communities and Local Government","Infrastructure Planning Commission","Commissioners","0303 444 5000","commissioners@infrastructure.gsi.gov.uk","1","0","0.6","60000","64999","","Planning","","","http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission/post/5","/data/infrastructure/2011-03-31/110523_government-staff-and-salary-data-blank-template---March-2011.xls","person6"
"2","","SCS2","Deputy Chair","Deputy Chair of the Commission, appointed by the Secretary of State. Responsible for conducting examinations and determining applications for development consent on Nationally Significant Infrastructure Projects.","Department for Communities and Local Government","Infrastructure Planning Commission","Commissioners","0303 444 5000","commissioners@infrastructure.gsi.gov.uk","1","0","0.6","75000","79999","","Planning","","","http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission/post/2","/data/infrastructure/2011-03-31/110523_government-staff-and-salary-data-blank-template---March-2011.xls","person3"
"4","","SCS2","Commissioner","Commissioner appointed by Secretary of State. Responsible for conducting examinations and determining applications for development consent on Nationally Significant Infrastructure Projects.","Department for Communities and Local Government","Infrastructure Planning Commission","Commissioners","0303 444 5000","commissioners@infrastructure.gsi.gov.uk","1","0","0.8","80000","84999","","Planning","","","http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission/post/4","/data/infrastructure/2011-03-31/110523_government-staff-and-salary-data-blank-template---March-2011.xls","person5"
"7","","SCS2","Commissioner","Commissioner appointed by Secretary of State. Responsible for conducting examinations and determining applications for development consent on Nationally Significant Infrastructure Projects.","Department for Communities and Local Government","Infrastructure Planning Commission","Commissioners","0303 444 5000","commissioners@infrastructure.gsi.gov.uk","1","0","0.6","60000","64999","","Planning","","","http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission/post/7","/data/infrastructure/2011-03-31/110523_government-staff-and-salary-data-blank-template---March-2011.xls","person8"
"8","","SCS2","Commissioner","Commissioner appointed by Secretary of State. Responsible for conducting examinations and determining applications for development consent on Nationally Significant Infrastructure Projects.","Department for Communities and Local Government","Infrastructure Planning Commission","Commissioners","0303 444 5000","commissioners@infrastructure.gsi.gov.uk","1","0","1","100000","104999","","Planning","","","http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission/post/8","/data/infrastructure/2011-03-31/110523_government-staff-and-salary-data-blank-template---March-2011.xls","person9"
"10","VACANT POST","SCS2","Commissioner","Commissioner appointed by Secretary of State. Responsible for conducting examinations and determining applications for development consent on Nationally Significant Infrastructure Projects.","Department for Communities and Local Government","Infrastructure Planning Commission","Commissioners","0303 444 5000","commissioners@infrastructure.gsi.gov.uk","1","0","0.6","60000","64999","","Planning","","","http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission/post/10","/data/infrastructure/2011-03-31/110523_government-staff-and-salary-data-blank-template---March-2011.xls","person11"
"6","","SCS2","Commissioner","Commissioner appointed by Secretary of State. Responsible for conducting examinations and determining applications for development consent on Nationally Significant Infrastructure Projects.","Department for Communities and Local Government","Infrastructure Planning Commission","Commissioners","0303 444 5000","commissioners@infrastructure.gsi.gov.uk","1","0","0.8","80000","84999","","Planning","","","http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission/post/6","/data/infrastructure/2011-03-31/110523_government-staff-and-salary-data-blank-template---March-2011.xls","person7"
"13","","SCS1","Director of Operations","Reporting to the Chief Executive and responsible for leading a Directorate to handle applications for development consent for nationally significant infrastructure projects and deliver the IPC's operational functions, including all aspects of case management and pre-application advice, environmental impact assessment and land rights advice, case-related and corporate communications, knowledge and information services to Commissioners and staff, and quality management.","Department for Communities and Local Government","Infrastructure Planning Commission","Operations","0303 444 5000","ipcenquiries@infrastructure.gsi.gov.uk","11","1618792","1","N/D","N/D","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission/post/13","/data/infrastructure/2011-03-31/110523_government-staff-and-salary-data-blank-template---March-2011.xls","person14"
"12","","SCS1","Director of Finance & Corporate Services","Reporting to the Chief Executive and responsible for leading the Directorate to develop and implement financial, human resources, estates, procurement, ICT and governance strategies to support the achievement of Commission corporate and business plans and key targets.","Department for Communities and Local Government","Infrastructure Planning Commission","Finance & Corporate Services","0303 444 5000","ipcenquiries@infrastructure.gsi.gov.uk","11","364000","1","N/D","N/D","","Finance","","","http://reference.data.gov.uk/id/public-body/infrastructure-planning-commission/post/12","/data/infrastructure/2011-03-31/110523_government-staff-and-salary-data-blank-template---March-2011.xls","person13"
