"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"14","N/D","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Department for Business Innovation and Skills","Land Registry","Legal Services Group","0300 006 7380","sally.acott@landregistry.gsi.gov.uk","4","672870","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/14","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","person15"
"21","N/D","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Department for Business Innovation and Skills","Land Registry","Legal Services Group","0300 006 7380","sally.acott@landregistry.gsi.gov.uk","4","541024","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/21","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","person22"
"8","N/D","SCS1","Head of Corporate Legal Services","Responsible for the provision of legal advice to Land Registry on non-registration matters including compliance with central guidance and public rights legislation on competition issues, intellectual property rights, data protection, freedom of information and human rights.","Department for Business Innovation and Skills","Land Registry","Legal Services Group","0300 006 7380","sally.acott@landregistry.gsi.gov.uk","4","589837","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/8","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","person9"
"25","Vacant","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Department for Business Innovation and Skills","Land Registry","Legal Services Group","N/A","N/A","4","0","1","0","0","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/25","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","person26"
"3","David Evans","SCS1","Director of Human Resources","Responsible for the leadership of the HR and corporate facilities and estates functions, ensuring efficient and effective day-to-day services that have the capacity and capability to support business change. Senior Responsible Owner responsible for the delivery of Land Registry's Accelerated Transformation Programme.","Department for Business Innovation and Skills","Land Registry","HR Directorate","0300 006 7363","michelle.bayliss@landregistry.gsi.gov.uk","1","4179547","1","80000","84999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/land-registry/post/3","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","person4"
"15","N/D","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Department for Business Innovation and Skills","Land Registry","Legal Services Group","0300 006 7380","sally.acott@landregistry.gsi.gov.uk","4","502112","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/15","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","person16"
"20","N/D","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Department for Business Innovation and Skills","Land Registry","Legal Services Group","0300 006 7380","sally.acott@landregistry.gsi.gov.uk","4","608338","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/20","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","person21"
"23","N/D","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Department for Business Innovation and Skills","Land Registry","Legal Services Group","0300 006 7380","sally.acott@landregistry.gsi.gov.uk","4","449091","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/23","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","person24"
"12","N/D","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Department for Business Innovation and Skills","Land Registry","Legal Services Group","0300 006 7380","sally.acott@landregistry.gsi.gov.uk","4","N/D","0.61","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/12","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","person13"
"17","Vacant","SCS1","Land Registrar","Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework","Department for Business Innovation and Skills","Land Registry","Legal Services Group","N/A","N/A","4","0","1","0","0","","Law","","","http://reference.data.gov.uk/id/public-body/land-registry/post/17","/data/landregistry/2011-09-30/300911-HMLR-Organogram.xls","person18"
