"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"RD218a","N/D","SCS1","Chief Information Officer","The development & implementation of the technology strategy to support business objectives","Ministry of Defence","Met Office","Met Office","0870 900 0100 01392 885680","enquiries@metoffice.gov.uk","RD999a","9509181","1","0","0","","Information Technology","","","http://reference.data.gov.uk/id/public-body/met-office/post/RD218a","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","person6"
"RD218b","N/D","SCS1","Chief Financial Officer","Delivery of all financial advice, planning & support","Ministry of Defence","Met Office","Met Office","0870 900 0100 01392 885680","enquiries@metoffice.gov.uk","RD999a","2622077","1","0","0","","Finance","","","http://reference.data.gov.uk/id/public-body/met-office/post/RD218b","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","person7"
"RD999c","John Mitchell","SCS2","Prinicpal Research Fellow","Provision of climate science strategy and contributing to overall corporate management and strategy","Ministry of Defence","Met Office","Met Office","0870 900 0100 01392 885680","enquiries@metoffice.gov.uk","RD999a","0","0.5","40000","44999","","Science and Engineering","","","http://reference.data.gov.uk/id/public-body/met-office/post/RD999c","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","person4"
"RD218f","N/D","SCS1","Business Development Director","To develop and lead the Met Office brand to ensure a more customer-focussed commercial function","Ministry of Defence","Met Office","Met Office","0870 900 0100 01392 885680","enquiries@metoffice.gov.uk","RD999a","4731478","1","0","0","","Planning","","","http://reference.data.gov.uk/id/public-body/met-office/post/RD218f","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","person11"
"RD218c","N/D","SCS1","HR Director","All people-related issues including recruitment, development, support & reward to ensure we remain an employer of choice","Ministry of Defence","Met Office","Met Office","0870 900 0100 01392 885680","enquiries@metoffice.gov.uk","RD999a","916626","1","0","0","","Human Resources","","","http://reference.data.gov.uk/id/public-body/met-office/post/RD218c","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","person8"
"RD218e","N/D","SCS1","Operations Director","Provision of end-to-end process for the production and delivery of data services to customers","Ministry of Defence","Met Office","Met Office","0870 900 0100 01392 885680","enquiries@metoffice.gov.uk","RD999a","18879503","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/met-office/post/RD218e","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","person10"
"RD998","N/D","SCS1","Director of Science","Development and implementation of the Science and Technology strategy, ensuring that it supports our short- and long-term business objectives.","Ministry of Defence","Met Office","Met Office","0870 900 0100 01392 885680","enquiries@metoffice.gov.uk","RD999a","6414071","1","0","0","","Science and Engineering","","","http://reference.data.gov.uk/id/public-body/met-office/post/RD998","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","person5"
"RD218d","N/D","SCS1","Government Services Director","All services provided within the public sector including those free at the point of use for emergency responders & the general public","Ministry of Defence","Met Office","Met Office","0870 900 0100 01392 885680","enquiries@metoffice.gov.uk","RD999a","3447483","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/met-office/post/RD218d","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","person9"
"RD999a","John Hirst","SCS2","Chief Executive","To harness the Met Offices world-leading weather & climate science for business & customer benefit","Ministry of Defence","Met Office","Met Office","0870 900 0100 01392 885680","enquiries@metoffice.gov.uk","XX","1545432","1","155000","159999","","Science and Engineering","","","http://reference.data.gov.uk/id/public-body/met-office/post/RD999a","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","person2"
"RD999b","Julia Slingo","SCS2","Chief Scientist","Provision of science strategy, directing & managing research & development and representing the Office on science across government","Ministry of Defence","Met Office","Met Office","0870 900 0100 01392 885680","enquiries@metoffice.gov.uk","RD999a","10143359","1","140000","144999","","Science and Engineering","","","http://reference.data.gov.uk/id/public-body/met-office/post/RD999b","/data/metoffice/2011-09-30/Government-Staff-and-salary-Costs-Sep-2011.xls","person3"
