"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"11","Jonathan Newby","SCS2","Director of NMSI Enterprises","Manage Commercial Offer","Department for Culture, Media and Sport","National Museum of Science and Industry","NMSI Enterprises","0207 942 4003","Executive.NMSI@nmsi.ac.uk","6","5593101","1","105000","109999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry/post/11","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","person12"
"4","Colin Philpott","SCS2","Director - National Media Museum","Manage Creative Offer for NMeM","Department for Culture, Media and Sport","National Museum of Science and Industry","NMeM Brand","0207 942 4003","Executive.NMSI@nmsi.ac.uk","6","1360293","1","95000","99999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry/post/4","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","person5"
"12","Heather Mayfield","SCS2","Deputy Director","Manage Creative Offer for ScM","Department for Culture, Media and Sport","National Museum of Science and Industry","ScM Brand","0207 942 4003","Executive.NMSI@nmsi.ac.uk","6","3604954","1","85000","89999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry/post/12","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","person13"
"3","Adele McAllister","SCS2","Director Of HR","Manage HR, ICT and Corporate & Collections Information functions","Department for Culture, Media and Sport","National Museum of Science and Industry","HR & ICT","0207 942 4003","Executive.NMSI@nmsi.ac.uk","6","1454086","1","85000","89999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry/post/3","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","person4"
"6","Ian Blatchford","SCS3","Director & Chief Executive of NMSI","Provide direction and leadership for NMSI NMSI","Department for Culture, Media and Sport","National Museum of Science and Industry","Director's Office","0207 942 4003","Executive.NMSI@nmsi.ac.uk","XX","0","1","130000","134999","","Policy","","","http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry/post/6","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","person7"
"8","Jean Franczyk","SCS2","Director of Learning","Manage Learning Offer for NMSI","Department for Culture, Media and Sport","National Museum of Science and Industry","Learning","0207 942 4003","Executive.NMSI@nmsi.ac.uk","6","2556555","1","70000","74999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry/post/8","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","person9"
"1","Anne Caine","SCS2","Director of Finance & Committee Support","Manage Finance, Business Planning, Risk and Governance","Department for Culture, Media and Sport","National Museum of Science and Industry","Finance","0207 942 4003","Executive.NMSI@nmsi.ac.uk","6","716382","1","80000","84999","","Finance","","","http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry/post/1","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","person2"
"7","John Bevin","SCS2","Acting Director of Corporate Services","Manage Estates and Major Projects Functions","Department for Culture, Media and Sport","National Museum of Science and Industry","Corporate Services","0207 942 4003","Executive.NMSI@nmsi.ac.uk","6","989120","1","60000","64999","","Property and asset management","","","http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry/post/7","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","person8"
"9","Susan Fisher","SCS2","Director of Development","Manage Development and Fundraising fuction","Department for Culture, Media and Sport","National Museum of Science and Industry","Development","0207 942 4003","Executive.NMSI@nmsi.ac.uk","6","855484","1","75000","79999","","Operational Research","","","http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry/post/9","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","person10"
"2","Steve Davies","SCS2","Director - National Railway Museum","Manage Creative Offer for NRM","Department for Culture, Media and Sport","National Museum of Science and Industry","NRM Brand","0207 942 4003","Executive.NMSI@nmsi.ac.uk","6","1321704","1","105000","109999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/national-museum-of-science-and-industry/post/2","/data/nmsi/2011-03-31/government-staff-and-salary-data-blank-template---March-2011-final-version-3.xls","person3"
