"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"50003629","","SCS1","Impact Programme Director","The IMPACT Programme was established in 2005 as a substantial element of the Government's response to Sir Michael Bichard's inquiry report on the Soham murders in 2002. Currently, police forces are unable to directly search or access intelligence or other information that is held on another force's local system. IMPACT is an IT-enabled business change programme that aims to improve the ability of the police service to manage and share such information.","Home Office","National Policing Improvement Agency","ICTS","0800 496 3322","enquiries@npia.pnn.police.uk","50004834","4399240","1","85000","89999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/npia/post/50003629","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","person15"
"50003626","","SCS1","Head of Research Analysis & Information","The Research, Analysis and Information unit informs the development of policing policy and practice by collecting and assessing existing evidence and generating new findings to fill gaps in knowledge. Working with others to contribute to developing and continually improving measurement and policing performance. The unit also designs processes for assuring the quality and ethical standards of NPIA research and analysis. Providing advice to practitioners and policy colleagues that enhance their own skills and help them to use evidence.","Home Office","National Policing Improvement Agency","PPP","0800 496 3322","enquiries@npia.pnn.police.uk","50035468","3149463","1","80000","84999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/npia/post/50003626","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","person19"
"50023286","","SCS1","Head of Service Review","The Cost Effectiveness team supports forces with the transformational change needed to reduce costs whilst maintaining frontline services.�We are working with key stakeholders to develop a national strategy for cost effectiveness and value for money, and continue to develop tactical tools�for forces to use as part of their change programmes.","Home Office","National Policing Improvement Agency","PPP","0800 496 3322","enquiries@npia.pnn.police.uk","50035468","521369","1","75000","79999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/npia/post/50023286","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","person10"
"50021925","","SCS1","Head of Learning Delivery","Training Team design and develop, deliver and maintain the full range of Proceeds of Crime (POCC) training products and continuing professional development activities. POCC trainers Tutor, monitor and assess financial investigators through written submissions and by examination of case material in the workplace. They also design, develop and deliver, in conjunction with external awarding bodies, a range of vocational and academic qualifications act as single points of contact to police and other law enforcement organisations providing detailed advice and guidance on strategic and tactical matters.","Home Office","National Policing Improvement Agency","People & Dev","0800 496 3322","enquiries@npia.pnn.police.uk","50003617","3896726","1","75000","79999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/npia/post/50021925","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","person8"
"50005563","","SCS1","Head of Marketing & Communications","This unit works closely with the organisation to deliver an integrated marketing and communications service.","Home Office","National Policing Improvement Agency","CEO Directorate","0800 496 3322","enquiries@npia.pnn.police.uk","50005951","1182424","1","80000","84999","","Communications","","","http://reference.data.gov.uk/id/public-body/npia/post/50005563","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","person32"
"50019510","","SCS1","Head of Info & Comms Development","This unit works with the police service to identify, acquire and adopt the technologies best able to deliver tangible benefits. Providing a secure and reliable Airwave comms system. Enabling the police service and criminal justice partners to gain maximum business benefits from automated identification systems. Enhancing the effectiveness and efficiency of forces by supporting their adoption of mobile information applications. To be a recognised centre of excellence on biometric identification technology and network infrastructure for policing. Enhancing the security and trust of information sharing, whilst providing effective and efficient network infrastructure and services.","Home Office","National Policing Improvement Agency","ICTS","0800 496 3322","enquiries@npia.pnn.police.uk","50004834","2897828","1","85000","89999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/npia/post/50019510","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","person23"
"50005855","","SCS1","Head of Examinations and Assessment","Responsibility for the overall management of the Business Unit: Their vision is to be the market leader in translating recruitment assessment, selection and related quality assurance theory into practice within the UK Police Service.","Home Office","National Policing Improvement Agency","People & Dev","0800 496 3322","enquiries@npia.pnn.police.uk","50003613","1750474","1","85000","89999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/npia/post/50005855","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","person12"
"50022145","","SCS1","Head of International Academy","The work of the International Acedemy is focused on the professional and personal development of police leaders worldwide. In addition, they run an international network of Police Advisers that work in partnership with international law enforcement colleagues and governments to advise and assist in organisational, operational and technological police training and development projects.","Home Office","National Policing Improvement Agency","People & Dev","0800 496 3322","enquiries@npia.pnn.police.uk","50003617","933440","1","80000","84999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/npia/post/50022145","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","person18"
"50028412","","SCS1","Head of Crime Analysis","The Serious Crime Analysis Section (SCAS) holds the national database for serious sexual offences such as murders, rapes and abductions, including attempts, falling within certain criteria. Case files are received at an early stage from all UK forces (including Scotland and the PSNI) through a network of force Contact Officers. SCAS has a national remit to conduct comparative case analysis on these cases in order to identify similar offences that may have been committed by the same offender and to identify potential suspects. The SCAS senior management team are principally concerned with the strategy of the unit and the direction which SCAS is to take.","Home Office","National Policing Improvement Agency","Operations","0800 496 3322","enquiries@npia.pnn.police.uk","50004834","1710874","1","70000","74999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/npia/post/50028412","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","person26"
"50004834","Tom McArthur","SCS2","Director of Operations","This unit manages the Police National Computer (PNC) and a number of other key national police applications. The unit is responsible for the ongoing management of a range of IT applications delivered under the National Strategy for Police Information Systems (NSPIS).","Home Office","National Policing Improvement Agency","Operations","0800 496 3322","enquiries@npia.pnn.police.uk","50005951","1917436","1","110000","114999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/npia/post/50004834","/data/npia/2011-03-31/government-staff-and-salary-data-blank-template---March-2011---NPIA.xls","person6"
