"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"3497102","","SCS1","Director of Information Systems","Responsible for the delivery of the NHS IC strategy in respect of Information Technology and Knowledge Management","Department of Health","NHS Information Centre for Health and Social Care","Patient, Population Health and Engagement","0845 3006016","enquiries@ic.nhs.uk","3497697","925661","1","80000","84999","","Information Technology","","","http://reference.data.gov.uk/id/public-body/nhs-information-centre-for-health-social-care/post/3497102","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","person18"
"9016421","","SCS1","Head of Executive office","Responsible for Corporate Governance issues and the management of the Board and Executive Director secretariat.","Department of Health","NHS Information Centre for Health and Social Care","Chief Executive","0845 3006016","enquiries@ic.nhs.uk","3497619","143447","1","65000","69999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nhs-information-centre-for-health-social-care/post/9016421","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","person9"
"5788302","","SCS1","Programme Head","Responsible for the provision of Information Services relating to Patients and the Public and internally for managing NHSIC Business Continuity and Performance Management","Department of Health","NHS Information Centre for Health and Social Care","Patient, Population Health and Engagement","0845 3006016","enquiries@ic.nhs.uk","3497697","0","1","80000","84999","","Knowledge and Information Management (KIM)","","","http://reference.data.gov.uk/id/public-body/nhs-information-centre-for-health-social-care/post/5788302","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","person17"
"3497455","Trevor Doherty","SCS2","Executive Director of Finance & Performance","Responsible for financial governance, performance management, procurement, commercial management and office services.","Department of Health","NHS Information Centre for Health and Social Care","Chief Executive","0845 3006016","enquiries@ic.nhs.uk","3497619","199662","1","125000","129999","","Finance","","","http://reference.data.gov.uk/id/public-body/nhs-information-centre-for-health-social-care/post/3497455","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","person4"
"6690588","","SCS1","Programme Head - Clinical Analysis","Responsible for the development and delivery of Clinical Outcome indicators and information","Department of Health","NHS Information Centre for Health and Social Care","Informatics","0845 3006016","enquiries@ic.nhs.uk","5174983","889852","1","65000","69999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nhs-information-centre-for-health-social-care/post/6690588","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","person21"
"3497329","","SCS1","Programme Head - Standards & Classifications","Responsible for specific programmes within Information Services relating to Case Mix and Payment by Results","Department of Health","NHS Information Centre for Health and Social Care","Informatics","0845 3006016","enquiries@ic.nhs.uk","5174983","1432889","1","80000","84999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nhs-information-centre-for-health-social-care/post/3497329","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","person25"
"6240732","","SCS1","Head Of Finance","Manages the Finance Function","Department of Health","NHS Information Centre for Health and Social Care","Finance and Performance","0845 3006016","enquiries@ic.nhs.uk","3497455","273431","1","80000","84999","","Finance","","","http://reference.data.gov.uk/id/public-body/nhs-information-centre-for-health-social-care/post/6240732","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","person12"
"T57a","","SCS1","Director of Social Care Information and Delivery","Responsible for the customer focussed delivery of national, high profile, high priority information services and projects for Social Care services.","Department of Health","NHS Information Centre for Health and Social Care","Informatics","0845 3006016","enquiries@ic.nhs.uk","5174983","511214","1","65000","69999","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/public-body/nhs-information-centre-for-health-social-care/post/T57a","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","person28"
"7378595","","SCS1","Head of Programme Delivery","Responsible for programme management and project support across a range of NHS IC activities.","Department of Health","NHS Information Centre for Health and Social Care","Finance and Performance","0845 3006016","enquiries@ic.nhs.uk","3497619","1196559","1","65000","69999","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/public-body/nhs-information-centre-for-health-social-care/post/7378595","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","person13"
"3497701","","SCS1","Programme Head - Population & Resources","Responsible for the provision of Information Services relating to Population Health and workforce.","Department of Health","NHS Information Centre for Health and Social Care","Informatics","0845 3006016","enquiries@ic.nhs.uk","5174983","2212611","0.85","75000","79999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nhs-information-centre-for-health-social-care/post/3497701","/data/ic/2011-03-31/Copy-of-government-staff-and-salary-data-blank-template---June-2011.xls","person22"
