"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"I","N/D","SCS3","Business Services Director","Business Planning","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","A","279681","1","115000","119999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/I","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person10"
"M","Lesinski","SCS3","Executive Director Delivery","Delivery","Department of Energy and Climate Change","Nuclear Decommissioning Authority","CEO","01925 802001","enquiries@nda.gov.uk","M","651488","1","185000","189999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/M","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person14"
"AJ","N/D","SCS1A","Head of SR and Communications","Communications & Stakeholder R","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Communications","01925 802001","enquiries@nda.gov.uk","B","337501","1","75000","79999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AJ","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person37"
"AB","N/D","SCS2","Head of Programme","Delivery","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Delivery","01925 802001","enquiries@nda.gov.uk","M","93270","1","100000","104999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AB","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person29"
"E","N/D","SCS3","Strategy & Technology Director","Strategy","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","A","444208","1","120000","124999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/E","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person6"
"F","N/D","SCS3","HSSE Director","Business Planning","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","A","197451","1","85000","89999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/F","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person7"
"D","Balmer","SCS3","Commercial Director","Commercial","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","A","674493","1","130000","134999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/D","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person5"
"R","N/D","SCS2","Head of Financial Operations","Finance","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Finance","01925 802001","enquiries@nda.gov.uk","L","313305","1","110000","114999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/R","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person19"
"AG","N/D","SCS1A","Head of Risk","Finance","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Finance","01925 802001","enquiries@nda.gov.uk","L","105494","1","80000","84999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AG","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person34"
"AI","N/D","SCS1A","Head of Group Internal Audit","Finance","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Finance","01925 802001","enquiries@nda.gov.uk","L","99290","1","90000","94999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AI","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person36"
"AK","N/D","SCS1A","Strategic Authority Manager","Strategy","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","E","46157","1","70000","74999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AK","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person38"
"AN","N/D","SCS1A","Head of OD","Human Resources","Department of Energy and Climate Change","Nuclear Decommissioning Authority","CEO","01925 802001","enquiries@nda.gov.uk","J","55734","1","85000","89999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AN","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person41"
"Y","N/D","SCS2","Head of Legal","Business Planning","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","K","350960","1","135000","139999","","Finance","","","http://reference.data.gov.uk/id/public-body/nda/post/Y","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person26"
"J","N/D","SCS3","Human Resources Director","Human Resources","Department of Energy and Climate Change","Nuclear Decommissioning Authority","CEO","01925 802001","enquiries@nda.gov.uk","A","404613","1","135000","139999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/J","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person11"
"AF","N/D","SCS1A","Head of Repository Safety & En","Business Planning","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","F","0","1","55000","59999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AF","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person33"
"AR","N/D","SCS1A","Strategy Manager","Strategy","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","E","0","1","70000","74999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AR","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person45"
"AW","N/D","SCS1A","Head of Packaging Assessment","Business Planning","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","H","197568","1","75000","79999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AW","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person50"
"AO","N/D","SCS1A","Head of People Strategy","Human Resources","Department of Energy and Climate Change","Nuclear Decommissioning Authority","CEO","01925 802001","enquiries@nda.gov.uk","J","0","1","85000","89999","","Finance","","","http://reference.data.gov.uk/id/public-body/nda/post/AO","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person42"
"AA","N/D","SCS2","Head of Contracts","Commercial","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","D","223109","1","90000","94999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AA","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person28"
"B","N/D","SCS3","Director of Communication & SR","Communications & Stakeholder R","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Communications","01925 802001","enquiries@nda.gov.uk","A","110378","1","140000","144999","","Communications","","","http://reference.data.gov.uk/id/public-body/nda/post/B","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person3"
"AZ","N/D","SCS1A","Strategic Authority Manager","Strategy","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","E","0","1","60000","64999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AZ","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person53"
"V","N/D","SCS2","Head of Disposal Syst Assessme","Business Planning","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","H","203252","1","90000","94999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/V","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person23"
"AH","N/D","SCS1A","Strategy Manager","Strategy","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","E","124279","1","70000","74999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/AH","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person35"
"N","N/D","SCS2","Head of Programme","Delivery","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Delivery","01925 802001","enquiries@nda.gov.uk","M","185785","1","100000","104999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/N","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person15"
"T","N/D","SCS2","Head of Business Planning","Business Planning","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","K","65800","1","100000","104999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/T","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person21"
"Q","N/D","SCS2","Head of Group Pensions","Finance","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Finance","01925 802001","enquiries@nda.gov.uk","L","194588","1","90000","94999","","Finance","","","http://reference.data.gov.uk/id/public-body/nda/post/Q","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person18"
"K","Clarke","SCS3","Exe Director Business Planning","Business Planning","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Business Planning","01925 802001","enquiries@nda.gov.uk","A","654796","1","185000","189999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/K","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person12"
"P","N/D","SCS2","Head of NDA Programmes","Delivery","Department of Energy and Climate Change","Nuclear Decommissioning Authority","Delivery","01925 802001","enquiries@nda.gov.uk","M","220832","1","90000","94999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/nda/post/P","/data/nda/2011-09-30/2011.12.01---Tranparency-Exercise-(uploaded-version).xls","person17"
