"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"PfS-8","Tim Byles","SCS3","CEO","The executive head of PfS reporting to the Chair and the Secretary of State. Ultimately responsible for all PfS's operations and the advice provided to Ministers.","Department for Education","Partnerships for Schools","CEO Office","020 3301 7130","info@partnershipsforschools.org.uk","PfS-1","0","1","0","0","","","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-8","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person9"
"PfS-22","NO NAME","SCS1","Strategic Director - Design","Part of the Senior Management Team of PfS reporting to the Director of Operations, the Director of Transferred Programmes is responsible for the integration of the schools capital programmes and assets management within PfS following the transfer from DfE","Department for Education","Partnerships for Schools","Technology & Planning","020 3301 7130","info@partnershipsforschools.org.uk","PfS-13","465521","1","80000","84999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-22","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person23"
"PfS-11","Colin Howell","SCS2","Director, Academies","Part of the Senior Management Team of PfS reporting to the CEO, the Director of Academies is responsible for managing the Academies, Primary and Co-location capital programmes.","Department for Education","Partnerships for Schools","Academies","020 3301 7130","info@partnershipsforschools.org.uk","PfS-24","780130","0.8","105000","109999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-11","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person12"
"PfS-10","Amy Leonard","SCS2","Director, Corporate Affairs","Part of the Senior Management Team of PfS reporting to the CEO , the Director of Corporate Affairs is responsible for marketing, communication and parliamentary business in PfS.","Department for Education","Partnerships for Schools","Corporate Affairs","020 3301 7130","info@partnershipsforschools.org.uk","PfS-24","377728","0.6","70000","74999","","Communications","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-10","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person11"
"PfS-9","NO NAME","SCS2","Director, Corporate Resources","Part of the Senior Management Team of PfS reporting to the CEO , the Director of Corporate Resources is responsible for Finance HR, IT and Facilities.","Department for Education","Partnerships for Schools","Corporate Resources","020 3301 7130","info@partnershipsforschools.org.uk","PfS-24","397486","1","130000","134999","","Finance","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-9","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person10"
"PfS-15","NO NAME","SCS1","Director, Transferred Programmes","Part of the Senior Management Team of PfS reporting to the Director of Operations, the Director of Transferred Programmes is responsible for the integration of the schools capital programmes and assets management, following the transfer from DfE.","Department for Education","Partnerships for Schools","Operations","020 3301 7130","info@partnershipsforschools.org.uk","PfS-12","95876","1","90000","94999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-15","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person16"
"PfS-7","Veronica Smith","SCS3","Non-Executive Directors","Non-executive director of the PfS Board, responsible for reviewing PfS's strategic direction.","Department for Education","Partnerships for Schools","Board","020 3301 7130","info@partnershipsforschools.org.uk","PfS-1","0","0.14","10000","14999","","Planning","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-7","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person8"
"PfS-12","Sal Wilson","SCS2","Director, Operations","Part of the Senior Management Team of PfS reporting to the CEO, the Director of Operations is responsible for managing the delivery of capital programmes. Also deputises for the CEO.","Department for Education","Partnerships for Schools","Operations","020 3301 7130","info@partnershipsforschools.org.uk","PfS-24","264110","1","130000","134999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-12","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person13"
"PfS-5","Christine Davies","SCS3","Non-Executive Directors","Non-executive director of the PfS Board, responsible for reviewing PfS's strategic direction.","Department for Education","Partnerships for Schools","Board","020 3301 7130","info@partnershipsforschools.org.uk","PfS-1","0","0.14","10000","14999","","Planning","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-5","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person6"
"PfS-19","NO NAME","SCS1","Strategic Director - ICT","Part of the Senior Management Team of PfS reporting to the Director of Operations, the Director of Transferred Programmes is responsible for the integration of the schools capital programmes within PfS following the transfer from DfE. and assets management","Department for Education","Partnerships for Schools","Technology & Planning","020 3301 7130","info@partnershipsforschools.org.uk","PfS-13","484779","1","85000","89999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-19","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person20"
"PfS-13","Russell Andrews","SCS2","Director, Technology & Planning","Part of the Senior Management Team of PfS reporting to the CEO, the Director of Education & Planning is responsible for design, ICT and pupil planning support in the delivery of capital programmes.","Department for Education","Partnerships for Schools","Technology & Planning","020 3301 7130","info@partnershipsforschools.org.uk","PfS-24","78577","1","125000","129999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-13","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person14"
"PfS-23","NO NAME","SCS1","Head of Finance","Part of the Senior Management Team of PfS reporting to the Director of Operations, the Director of Transferred Programmes is responsible for the integration of the schools capital programmes within PfS following the transfer from DfE. and assets management","Department for Education","Partnerships for Schools","Corporate Resources","020 3301 7130","info@partnershipsforschools.org.uk","PfS-9","695937","1","90000","94999","","Finance","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-23","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person24"
"PfS-14","NO NAME","SCS2","Director, Commercial","Part of the Senior Management Team of PfS reporting to the CEO, the Director of Commercial is responsible for managing the legal and technical advisory aspects of the capital programmes.","Department for Education","Partnerships for Schools","Commercial","020 3301 7130","info@partnershipsforschools.org.uk","PfS-24","1426099","1","130000","134999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-14","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person15"
"PfS-4","Brian Rigby","SCS3","Non-Executive Directors","Non-executive director of the PfS Board, responsible for reviewing PfS's strategic direction.","Department for Education","Partnerships for Schools","Board","020 3301 7130","info@partnershipsforschools.org.uk","PfS-1","0","0.14","10000","14999","","Planning","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-4","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person5"
"PfS-2","Stella Earnshaw","SCS3","Non-Executive Directors","Non-executive director of the PfS Board, responsible for reviewing PfS's strategic direction.","Department for Education","Partnerships for Schools","Board","020 3301 7130","info@partnershipsforschools.org.uk","PfS-1","0","0.14","10000","14999","","Planning","","","http://reference.data.gov.uk/id/public-body/partnerships-for-schools/post/PfS-2","/data/partnershipsforschools/2011-09-30/300911-PfS-Organogram.xls","person3"
