"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"QCDA-2012","","SCS1","Director of Support Services","Directs day to day management on operational and programme delivery remits. They provide operational direction and leadership.","Department for Education","Qualifications and Curriculum Development Agency","Operational Delivery Management Board","0300 303 3010","info@qcda.gov.uk","QCDA-2013","1072697","1","80000","84999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-2012","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person19"
"QCDA-1002","Lin Hinnigan","SCS3","Acting Chief Executive","The Executive Team directs day-to-day management of QCDA and is responsible for providing strategic direction and leadership.","Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","0300 303 3010","info@qcda.gov.uk","QCDA-1001","0","1","130000","134999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-1002","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person3"
"QCDA-2013","","SCS1","Director of Finance and Central Services","Directs day to day management on operational and programme delivery remits. They provide operational direction and leadership.","Department for Education","Qualifications and Curriculum Development Agency","Operational Delivery Management Board","0300 303 3010","info@qcda.gov.uk","QCDA-1002","1336759","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-2013","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person20"
"QCDA-2010","","SCS1","Director of External Communications","Directs day to day management on operational and programme delivery remits. They provide operational direction and leadership.","Department for Education","Qualifications and Curriculum Development Agency","Operational Delivery Management Board","0300 303 3010","info@qcda.gov.uk","QCDA-1003","3470299","1","80000","84999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-2010","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person17"
"QCDA-2002","","SCS1","Director of Operational Delivery","Directs day to day management on operational and programme delivery remits. They provide operational direction and leadership.","Department for Education","Qualifications and Curriculum Development Agency","Operational Delivery Management Board","0300 303 3010","info@qcda.gov.uk","QCDA-1003","936983","1","85000","89999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-2002","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person9"
"QCDA-1003","Sylvia McNamara","SCS2","Executive Director of Policy Implementation","The Executive Team directs day-to-day management of QCDA and is responsible for providing strategic direction and leadership.","Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","0300 303 3010","info@qcda.gov.uk","QCDA-1002","0","1","120000","124999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-1003","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person4"
"QCDA-1005","Mick Walker","SCS2","Executive Director of Education","The Executive Team directs day-to-day management of QCDA and is responsible for providing strategic direction and leadership.","Department for Education","Qualifications and Curriculum Development Agency","Strategic Executive","0300 303 3010","info@qcda.gov.uk","QCDA-1002","0","1","120000","124999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-1005","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person6"
"QCDA-2001","","SCS1","Director of Examinations Delivery","Directs day to day management on operational and programme delivery remits. They provide operational direction and leadership.","Department for Education","Qualifications and Curriculum Development Agency","Operational Delivery Management Board","0300 303 3010","info@qcda.gov.uk","QCDA-1005","2931896","1","85000","89999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-2001","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person8"
"QCDA-1001","Christopher Trinick","SCS3","Chairman","Non-executive chair reporting to the Secretary of State. Responsible for reviewing QCDA's strategic direction.","Department for Education","Qualifications and Curriculum Development Agency","Board","0300 303 3010","info@qcda.gov.uk","XX","0","0.6","60000","64999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-1001","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person2"
"QCDA-2003","","SCS1","Director of Assessment & Test Policy Development","Directs day to day management on operational and programme delivery remits. They provide operational direction and leadership.","Department for Education","Qualifications and Curriculum Development Agency","Operational Delivery Management Board","0300 303 3010","info@qcda.gov.uk","QCDA-1005","3403703","1","90000","94999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-2003","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person10"
"QCDA-2011","","SCS1","Director of Organisational Development","Directs day to day management on operational and programme delivery remits. They provide operational direction and leadership.","Department for Education","Qualifications and Curriculum Development Agency","Operational Delivery Management Board","0300 303 3010","info@qcda.gov.uk","QCDA-1002","1076289","1","85000","89999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-2011","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person18"
"QCDA-2005","","SCS1","Programme Director of General Qualifications","Directs day to day management on operational and programme delivery remits. They provide operational direction and leadership.","Department for Education","Qualifications and Curriculum Development Agency","Operational Delivery Management Board","0300 303 3010","info@qcda.gov.uk","QCDA-1005","0","1","85000","89999","","","","","http://reference.data.gov.uk/id/public-body/qualifications-and-curriculum-development-agency/post/QCDA-2005","/data/qcda/2011-03-31/government-staff-and-salary-data-QCDA---March-2011.xls","person12"
