"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"12","N/D","SCS1","Deputy Finance Director","Deputy Finance Director","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Finance","N/D","enquiries@defra.gsi.gov.uk","6","0","1","0","0","","Finance","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/12","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person13"
"11","N/D","SCS1","Defra Review Director","Defra Review Manager","Department for Environment, Food and Rural Affairs","Rural Payments Agency","CIO Directorate","N/D","enquiries@defra.gsi.gov.uk","1","0","1","0","0","","Information Technology","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/11","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person12"
"5","N/D","SCS1","Operations Director","Operational Director","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Site Administration","N/D","enquiries@defra.gsi.gov.uk","1","47991919","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/5","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person6"
"3","N/D","SCS1","Director of UK co-ordinating body","Head of UK co-ordinating body","Department for Environment, Food and Rural Affairs","Rural Payments Agency","UK Co-ordinating Body","N/D","enquiries@defra.gsi.gov.uk","1","334759","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/3","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person4"
"8","N/D","SCS1","Customer Director","Head of Customer Relations","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Customer Directorate","N/D","enquiries@defra.gsi.gov.uk","1","1055091","0.97","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/8","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person9"
"2","N/D","SCS1","Policy Director","Head of Policy","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Policy Directorate","N/D","enquiries@defra.gsi.gov.uk","1","1236287","0.97","0","0","","Policy","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/2","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person3"
"10","N/D","SCS1","Director for Programmes & Projects","Programme Manager","Department for Environment, Food and Rural Affairs","Rural Payments Agency","CIO Directorate","N/D","enquiries@defra.gsi.gov.uk","1","0","1","0","0","","Information Technology","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/10","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person11"
"13","N/D","SCS1","Compliance Director","Compliance Audit Manager","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Compliance Team","N/D","enquiries@defra.gsi.gov.uk","1","0","1","0","0","","Information Technology","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/13","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person14"
"4","N/D","SCS1","Director of Human Resources","Head of Human Resources","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Human Resources","N/D","enquiries@defra.gsi.gov.uk","1","3310118","1","0","0","","Human Resources","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/4","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person5"
"7","N/D","SCS1","Planning and Performance Director","Operational Performance Team","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Planning and Performance Directorate","N/D","enquiries@defra.gsi.gov.uk","1","621628","0.97","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/7","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person8"
"1","Mark Grimshaw","SCS3","Chief Executive Officer","Chief Executive","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Chief Executives Office","N/D","enquiries@defra.gsi.gov.uk","XX","0","1","155000","159999","","Policy","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/1","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person2"
"9","N/D","SCS1","Design and Change Director","Head of Programmes & Projects","Department for Environment, Food and Rural Affairs","Rural Payments Agency","CIO Directorate","N/D","enquiries@defra.gsi.gov.uk","1","2993245","1","0","0","","Information Technology","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/9","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person10"
"6","N/D","SCS1","Finance Director","Head of Finance","Department for Environment, Food and Rural Affairs","Rural Payments Agency","Finance","N/D","enquiries@defra.gsi.gov.uk","1","5332054","1","0","0","","Finance","","","http://reference.data.gov.uk/id/public-body/rural-payments-agency/post/6","/data/rpa/2011-09-30/RESTRICTED---RPA-government-staff-and-salary-data---September-2011v3.xls","person7"
