"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"SFA-16","Jon Nay","SCS2","Regional Apprenticeship Director","The post holder will provide leadership on all aspects of the NAS service within the region. This post will have responsibility for the end to end management of the service from policy development to delivery of targets, including the expansion of the Apprenticeship programmes in the region. They will work regionally with all key stakeholders to ensure effective and coherent arrangements are in place to promote and deliver agreed plans for the NAS. The post holder would also have a role in informing and influencing national policy.","Department for Business Innovation and Skills","Skills Funding Agency","National Apprenticeship Service","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-23","1211400","1","85000","89999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-16","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person15"
"SFA-43","Vacant","SCS2","Senior Account Director","To provide leadership across a range of national and complex accounts as part of the national Skills Funding Agency account management system and provide a single interface for colleges and learning providers that and will cover the entirety of the provision funded through the Skills Funding Agency including accreditation, funding allocation and contracting and the effective performance management of the college and learning provider base, ensuring national consistency and local responsiveness to learning and learning outcomes.","Department for Business Innovation and Skills","Skills Funding Agency","Provider Services","N/A","info@skillsfundingagency.bis.gov.uk","SFA-34","0","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-43","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person52"
"SFA-55","David Hodges","SCS2","Skills Director","Ensure delivery of a highly responsive and strategic skills service for employers and learners within the region. Lead the SFA regional response to the Skills element of the RDAs Single Integrated Strategy, working in conjunction with Colleges and Learning Provider Services (CLPS) to direct SFA action in support of the Skills Strategy, responding to gaps and mismatches in the supply of skills to meet new employer demands, especially to help grow the jobs of the future.","Department for Business Innovation and Skills","Skills Funding Agency","Regional Skills Services","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-5","0","1","80000","84999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-55","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person33"
"SFA-63","Denis Miles","SCS2","Director of Provider Financial Management","To lead on developing and implementing policies for maintaining and enhancing the financial health of providers and for financial intervention in the event of poor financial management. To lead on developing and implementing policies for assessment of capital proposals and providers value for money.","Department for Business Innovation and Skills","Skills Funding Agency","Strategic Finance","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-61","722511","1","70000","74999","","Finance","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-63","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person2"
"SFA-3","Hilary Chadwick","SCS2","Director of Service for National Employers","Responsible for the development, delivery and management of the new remit for the National Employer Service (NES) as set out in the Skills White Paper, embracing the wide range of sectoral issues identified as key to economic prosperity. Develop long-term strategic relationships between the SFA and large employers that raises the profile of the SFA, develops employer understanding of skills issues, and leads to an increase in employer investment in skills development, particularly for Apprentices and those in the workplace with lower level skills in support of SFA priorities and targets.","Department for Business Innovation and Skills","Skills Funding Agency","National Apprenticeship Service","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-23","889981","1","90000","94999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-3","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person56"
"SFA-47","Vacant","SCS2","Skills Director","Ensure delivery of a highly responsive and strategic skills service for employers and learners within the region. Lead the SFA regional response to the Skills element of the RDAs Single Integrated Strategy, working in conjunction with Colleges and Learning Provider Services (CLPS) to direct SFA action in support of the Skills Strategy, responding to gaps and mismatches in the supply of skills to meet new employer demands, especially to help grow the jobs of the future.","Department for Business Innovation and Skills","Skills Funding Agency","Regional Skills Services","N/A","info@skillsfundingagency.bis.gov.uk","SFA-48","0","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-47","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person23"
"SFA-1","Verity Bullough","SCS3","National Director of Employer and Learner Services","Ensuring provision for education and skills opportunities for over three million learners and trainees, working closely with a wide range of partners and stakeholders including across government. The role will require experience of delivering national strategies and policies and of addressing learning and skills needs of employers. Management board member","Department for Business Innovation and Skills","Skills Funding Agency","Employer and Learner Services","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-56","0","1","115000","119999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-1","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person60"
"SFA-19","Nick Wilson","SCS2","Regional Apprenticeship Director","The post holder will provide leadership on all aspects of the NAS service within the region. This post will have responsibility for the end to end management of the service from policy development to delivery of targets, including the expansion of the Apprenticeship programmes in the region. They will work regionally with all key stakeholders to ensure effective and coherent arrangements are in place to promote and deliver agreed plans for the NAS. The post holder would also have a role in informing and influencing national policy.","Department for Business Innovation and Skills","Skills Funding Agency","National Apprenticeship Service","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-23","1085483","1","75000","79999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-19","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person17"
"SFA-27","Clare Arnold","SCS2","Senior Account Director","To provide leadership across a range of national and complex accounts as part of the national Skills Funding Agency account management system and provide a single interface for colleges and learning providers that and will cover the entirety of the provision funded through the Skills Funding Agency including accreditation, funding allocation and contracting and the effective performance management of the college and learning provider base, ensuring national consistency and local responsiveness to learning and learning outcomes.","Department for Business Innovation and Skills","Skills Funding Agency","Provider Services","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-34","1801141","1","80000","84999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-27","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person53"
"SFA-60","Raza Raheem","SCS2","Portfolio Finance Director","To manage the financial resources of the Skills Funding Agency effectively and in a way that supports the achievement of Skills Funding Agency strategic objectives. To manage strategic interventions in the provider network to improve financial performance and support capital investments. Actively manage effective contract management, audit and accounting procedures to ensure the National Director for Strategic Finance is able to deliver assurance through the Statement of Internal Control to the Chief Executive on the proper use of Skills Funding Agency funds.","Department for Business Innovation and Skills","Skills Funding Agency","Strategic Finance","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-61","954165","1","85000","89999","","Finance","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-60","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person38"
"SFA-12","John Chudley","SCS2","Regional Apprenticeship Director","The post holder will provide leadership on all aspects of the NAS service within the region. This post will have responsibility for the end to end management of the service from policy development to delivery of targets, including the expansion of the Apprenticeship programmes in the region. They will work regionally with all key stakeholders to ensure effective and coherent arrangements are in place to promote and deliver agreed plans for the NAS. The post holder would also have a role in informing and influencing national policy.","Department for Business Innovation and Skills","Skills Funding Agency","National Apprenticeship Service","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-23","1280214","1","85000","89999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-12","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person11"
"SFA-37","Mary Rogers","SCS2","Senior Account Director","To provide leadership across a range of national and complex accounts as part of the national Skills Funding Agency account management system and provide a single interface for colleges and learning providers that and will cover the entirety of the provision funded through the Skills Funding Agency including accreditation, funding allocation and contracting and the effective performance management of the college and learning provider base, ensuring national consistency and local responsiveness to learning and learning outcomes.","Department for Business Innovation and Skills","Skills Funding Agency","Provider Services","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-28","849953","1","75000","79999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-37","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person40"
"SFA-59","Stephen Packham","SCS2","Portfolio Finance Director","To manage the financial resources of the Skills Funding Agency effectively and in a way that supports the achievement of Skills Funding Agency strategic objectives. To manage strategic interventions in the provider network to improve financial performance and support capital investments. Actively manage effective contract management, audit and accounting procedures to ensure the National Director for Strategic Finance is able to deliver assurance through the Statement of Internal Control to the Chief Executive on the proper use of Skills Funding Agency funds.","Department for Business Innovation and Skills","Skills Funding Agency","Strategic Finance","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-61","1769302","1","75000","79999","","Finance","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-59","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person36"
"SFA-39","Karen Sherry","SCS2","Senior Account Director","To provide leadership across a range of national and complex accounts as part of the national Skills Funding Agency account management system and provide a single interface for colleges and learning providers that and will cover the entirety of the provision funded through the Skills Funding Agency including accreditation, funding allocation and contracting and the effective performance management of the college and learning provider base, ensuring national consistency and local responsiveness to learning and learning outcomes.","Department for Business Innovation and Skills","Skills Funding Agency","Provider Services","0845 377 5000","info@skillsfundingagency.bis.gov.uk","SFA-28","2434417","1","75000","79999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/skills-funding-agency/post/SFA-39","/data/skillsfundingagency/2011-09-30/30-Sep-2011-SFA-Upload.xls","person43"
