"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"31","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1","N/D","N/D","","","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/31","/data/tpr/2011-03-31/government-staff-and-salary-data---March-2011.xls","person24"
"39","","SCS1","Business Leader","Leading delivery of business unit objectives","Department for Work and Pensions","The Pensions Regulator","Support","0870 6063636","customersupport@thepensionsregulator.gov.uk","45","N/D","1","N/D","N/D","","Information Technology","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/39","/data/tpr/2011-03-31/government-staff-and-salary-data---March-2011.xls","person63"
"104","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1","N/D","N/D","","","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/104","/data/tpr/2011-03-31/government-staff-and-salary-data---March-2011.xls","person35"
"111","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1","N/D","N/D","","","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/111","/data/tpr/2011-03-31/government-staff-and-salary-data---March-2011.xls","person38"
"34","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","0.4","N/D","N/D","","","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/34","/data/tpr/2011-03-31/government-staff-and-salary-data---March-2011.xls","person20"
"114","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Develop","","","100","0","","N/D","N/D","","","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/114","",""
"33","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1","N/D","N/D","","","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/33","/data/tpr/2011-03-31/government-staff-and-salary-data---March-2011.xls","person31"
"107","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","0870 6063636","customersupport@thepensionsregulator.gov.uk","112","0","1","N/D","N/D","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/107","/data/tpr/2011-03-31/government-staff-and-salary-data---March-2011.xls","person56"
"35","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1","N/D","N/D","","","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/35","/data/tpr/2011-03-31/government-staff-and-salary-data---March-2011.xls","person28"
"37","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","0","1","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/37","/data/tpr/2011-03-31/government-staff-and-salary-data---March-2011.xls","person45"
"102","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1","N/D","N/D","","","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/102","/data/tpr/2011-03-31/government-staff-and-salary-data---March-2011.xls","person33"
"30","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","0.6","N/D","N/D","","Law","","","http://reference.data.gov.uk/id/public-body/the-pensions-regulator/post/30","/data/tpr/2011-03-31/government-staff-and-salary-data---March-2011.xls","person23"
