"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI","source_file","source_line"
"V6","Timothy Eden","SCS1","Deputy Director","Director, Council Tax and Housing Allowance","Her Majesty's Revenue and Customs","Valuation Office Agency","Council Tax and Housing Allowances","03000 500233","francesca.carlyon@voa.gsi.gov.uk","V3","6234862","1","65000","69999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V6","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person5"
"V1","Penny Ciniewicz","SCS2","Director","Chief Executive","Her Majesty's Revenue and Customs","Valuation Office Agency","Private Office","03000 500233","francesca.carlyon@voa.gsi.gov.uk","XX","376819","1","100000","104999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V1","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person2"
"V4","Mary Hardman","SCS1","Deputy Director","Operations Director","Her Majesty's Revenue and Customs","Valuation Office Agency","LocalTaxation&Housing Allowances","03000 500233","francesca.carlyon@voa.gsi.gov.uk","V3","32077886","1","65000","69999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V4","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person12"
"V7","Christopher Sharp","SCS1","Deputy Director","Director, Commercial Services","Her Majesty's Revenue and Customs","Valuation Office Agency","Commercial Services","03000 500233","francesca.carlyon@voa.gsi.gov.uk","V3","9367042","1","75000","79999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V7","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person6"
"V11","Colin Bailey","SCS1","Deputy Director","Chief Finance Officer","Her Majesty's Revenue and Customs","Valuation Office Agency","Finance,StrategyandPlanning(FS&P)","03000 500233","francesca.carlyon@voa.gsi.gov.uk","V1","1816860","1","80000","84999","","Finance","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V11","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person3"
"V5","David Subacchi","SCS1","Deputy Director","Operations Director","Her Majesty's Revenue and Customs","Valuation Office Agency","LocalTaxation&Housing Allowances","03000 500233","francesca.carlyon@voa.gsi.gov.uk","V3","35824235","1","65000","69999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V5","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person11"
"V8","Paul Sanderson","SCS1","Deputy Director","Director, Professional Services","Her Majesty's Revenue and Customs","Valuation Office Agency","Rating","03000 500233","francesca.carlyon@voa.gsi.gov.uk","V3","3187611","1","80000","84999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V8","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person9"
"V9","Dyfed Alsop","SCS1","Deputy Director","Director, Strategy, People and Change","Her Majesty's Revenue and Customs","Valuation Office Agency","Strategy, People &Change","03000 500233","francesca.carlyon@voa.gsi.gov.uk","V1","4708568","1","70000","74999","","Human Resources","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V9","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person10"
"V12","Helen Kettlewell","SCS1","Deputy Director","Director, Non Domestic Rating Operations","Her Majesty's Revenue and Customs","Valuation Office Agency","NDR Operations","03000 500233","francesca.carlyon@voa.gsi.gov.uk","V4","0","1","60000","64999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V12","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person13"
"V10","Steve Hartnell","SCS1","Deputy Director","Director, National and Central Services","Her Majesty's Revenue and Customs","Valuation Office Agency","Direct NCS Management Costs","03000 500233","francesca.carlyon@voa.gsi.gov.uk","V3","9736840","1","75000","79999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V10","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person7"
"V3","Niall Walsh","SCS2","Director","Chief Operating Officer and Chief Valuer","Her Majesty's Revenue and Customs","Valuation Office Agency","Operations","03000 500233","francesca.carlyon@voa.gsi.gov.uk","V1","1430163","1","80000","84999","","Operational Delivery","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V3","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person8"
"V2","Philip Macpherson","SCS1","Deputy Director","Chief Information Officer","Her Majesty's Revenue and Customs","Valuation Office Agency","IT and Business Services","03000 500233","francesca.carlyon@voa.gsi.gov.uk","V1","3998504","1","70000","74999","","Information Technology","","","http://reference.data.gov.uk/id/public-body/valuation-office-agency/post/V2","/data/voa/2011-09-30/300911-VOA-Organogram-FINAL-VERSION-v4.xls","person4"
