,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,2IPS10,Paul Pugh,SCS2,Chief Executive,"""The Chief Executive has overall responsibility for the delivery of United Kingdom passports and civil registration in England and Wales."" ",Home Office,Her Majesty's Passport Office,Chief Executive's Office,0207 035 4848 or Minicom 0207 035 4742,hqenquiries@ips.gsi.gov.uk ,XX,1246608.06,1.0,100000,104999,0,Operational Delivery,,1
1,2IPS08,"""Vacant""",SCS2,Executive Director Operations,"""The Operations Directorate is responsible for the production of 5.3 million passports, 300,000 identity authentication interviews and 1.6 million birth, death and marriage certificates.The Directorate also provides a Passport Validation Service (PVS) to both public and private sector organisations. This service enables organisations to check the validity of passports presented to them against IPS records.""",Home Office,Her Majesty's Passport Office,Operations,0207 035 4848 or Minicom 0207 035 4742,hqenquiries@ips.gsi.gov.uk ,2IPS10,0.0,1.0,0,0,0,Operational Delivery,,1
2,2IPS06,"""Eliminated""",SCS2,Executive Director Integrity and Security,"""The Integrity and Security Directorate supports the secure, efficient and effective delivery of IPS’ business services. The Executive Director of Integrity and Security (EDIS) is accountable for integrity and assurance across the whole Agency, leading on standards, assurance, physical & information security, intelligence and counter fraud policies & investigations, counter terrorism, serious organised crime, national security, technology research and innovation. The EDIS is the primary spokesperson for the integrity and security of all of the work of IPS both inside government, with the media and with relevant special interest groups.""",Home Office,Her Majesty's Passport Office,Identity and Security,0207 035 4848 or Minicom 0207 035 4742,hqenquiries@ips.gsi.gov.uk ,2IPS10,0.0,1.0,0,0,0,,,1
3,2IPS01,Alistair Bridges,SCS2,Executive Director Finance and Corporate Services,"""The Finance and Corporate Services Directorate provides: core corporate services to ensure IPS delivers its strategies and operational priorities in a way that is safe, secure, affordable and represents value for money, as well as ensuring risks are understood and managed well. Functional responsibilities include: Finance; IT Operations; Estates; Health and Safety; Identification Technologies; Knowledge and Information Management; Security; Risk; and Assurance. The posholder is also SIRO for IPS and responsible for ensuring the agency complies with legislative requirements on data handling and takes the lead on ensuring the integrity and security of our processes, products and services. ""
",Home Office,Her Majesty's Passport Office,Finance and Performance,0207 035 4848 or Minicom 0207 035 4742,hqenquiries@ips.gsi.gov.uk ,2IPS10,3590000.0,1.0,85000,89999,0,Finance,,1
4,1IPS23,N/D,SCS1,Director of Operations (Application Processing and Registration Services,"""The Director of Applications and Registration is accountable for the transformation and performance of the Application Processing Network and Registration Services."" ",Home Office,Her Majesty's Passport Office,Operations,0207 035 4848 or Minicom 0207 035 4742,hqenquiries@ips.gsi.gov.uk ,2IPS08,28360000.0,1.0,0,0,0,Operational Delivery,,1
5,1IPS22,N/D,SCS1,Director of Operations (Customer Service Network),"""The Director of Operations (CSN) is accountable for the performance of part of the IPS passport operations and has thematic responsibility for the transformation of the Customer Service Network, which is the public-facing aspect of IPS’ service delivery."" ",Home Office,Her Majesty's Passport Office,Operations,0207 035 4848 or Minicom 0207 035 4742,hqenquiries@ips.gsi.gov.uk ,2IPS08,15870000.0,1.0,0,0,0,Operational Delivery,,1
6,1IPS18,N/D,SCS1,Executive Director Human Resources & Organisational Development,"""The Human Resources and Organisational Development directorate’s overarching objective is to develop and engage IPS people to drive the delivery of business strategy by making IPS a great place to work. To achieve its vision, HR focusses on: becoming strategic enablers; understanding and consistently delivering superior customer service; enabling people to prosper to achieve organisational capability and their potential; promoting a diverse and inclusive culture with a common understanding of shared goals; and enabling operational excellence by making IPS a place where people want to work at all stages of their career.""",Home Office,Her Majesty's Passport Office,Human Resources,0207 035 4848 or Minicom 0207 035 4742,hqenquiries@ips.gsi.gov.uk ,2IPS10,980000.0,1.0,0,0,0,Human Resources,,1
7,1IPS13,"""Eliminated""",SCS1,Director of Integrity and Security,"""The Director of Integrity and Security is accountable for the security and integrity of Passports. This includes (a) in-contract monitoring, (b) setting standards and requirements for large-scale complex & novel procurements and (c) the development of HMG technical services e.g. cryptographical services, which allow electronic product signing and for UK Passports to be read electronically at the border.  The Director of Integrity and Security also has overall responsibility for the effective and efficient management of Security, Information Assurance, Special Projects and Integrity within IPS.""",Home Office,Her Majesty's Passport Office,Identity and Security,0207 035 4848 or Minicom 0207 035 4742,hqenquiries@ips.gsi.gov.uk ,2IPS06,0.0,1.0,0,0,0,,,1
8,1IPS10,"""Eliminated""",SCS1,Director of Identity Assurance & Senior Responsible Officer for the Passport Programme,"""The Director of Identity Assurance is accountable for the integrity of the UK passport.""",Home Office,Her Majesty's Passport Office,Identity and Security,0207 035 4848 or Minicom 0207 035 4742,hqenquiries@ips.gsi.gov.uk ,2IPS06,0.0,1.0,0,0,0,,,1
9,1IPS05,N/D,SCS1,Executive Director Corporate Strategy,"""The Corporate Strategy function holds IPS responsibility for strategy, policy, communications and marketing across all our products and services."" ",Home Office,Her Majesty's Passport Office,Corporate Strategy,0207 035 4848 or Minicom 0207 035 4742,hqenquiries@ips.gsi.gov.uk ,2IPS10,3000000.0,0.9,0,0,0,Planning,,1
