,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,26677,Mr Andrew Manley,SCS3,Chief Executive Defence Infrastructure Organisation,"Accountable to the Permanent Under Secretary and is the designated budget holder of DIO. Chief Executive (CE) is responsible for the delivery of coherent and affordable solutions to meet Defence needs through the provision of an effective, efficient, safe, legal and sustainable infrastructure. Responsible for the delivery of running cost reductions and exploration of commercialisation opportunities in line with Strategic Defence and Security Review (SDSR), Public Accounts Committee (PAC) and Defence Reform recommendations. Chairs the Defence Infrastructure Board (DIB) and the Executive Committee of the Defence Infrastructure Board (ECIB).",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,XX,132533554.0,1.0,200000,204999,0,Operational Delivery,,1
1,149394,Mr Mark Hutchinson,SCS2,Director Service Delivery,"Accountable to CE and responsible for service delivery across the defence estate (UK and overseas) including the volunteer estate, service family homes, major training areas and the MOD Guard Service (MGS). Responsible for delivering agreed and funded total facilities management services and estate improvement through a variety of contractual arrangements. Member of the DIB, ECIB and DIO Investment Approvals Committee (DIO IAC). Chairs the Service Delivery Committee (SDC). ",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,26677,0.0,1.0,80000,84999,0,Operational Delivery,,1
2,196904,Dr David Marsh,SCS2,Director Business Partnering,"Accountable to CE for determining a Strategic Business Model (SBM) for DIO. Responsible for all aspects of the project including business case preparation, programme management, approvals and contract award. Member of the ECIB and the DIO IAC. ",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,26677,0.0,1.0,80000,84999,0,Procurement,,1
3,26464,N/D,SCS1,Head of Commercial ,"Accountable to CE and responsible for the efficient and effective conduct of DIO commercial function in accordance with MOD policy and accountable for all DIO contractual arrangements. Member of the ECIB, SDC and DIO IAC.",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,26677,0.0,1.0,0,0,0,Procurement,,1
4,26521,N/D,SCS1,Head of Workforce Management Group,"Accountable to CE and responsible for the functions which enable the DIO to have the right staff, in the right place with the right skills to deliver its outputs both now and in the future. Provides advice and support to CE and Senior Management on all aspects of manpower and skills planning, resourcing, leadership development, performance management, recognition and reward, employee relations, staff engagement and equality and diversity. Member of the ECIB",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,26677,0.0,1.0,0,0,0,Human Resources,,1
5,26652,N/D,SCS1,Chief Finance Officer,"Accountable to CE and responsible for all aspects of Financial Planning and Reporting, appointed as DIO Senior Finance Officer and ensures business is conducted within HM Treasury’s ‘Managing Public Money’ policy. Provides leadership for DIO Secretariat including ministerial business, freedom of information, media and communications, board governance, corporate performance, security and business continuity. Member of the DIB and ECIB. Chairs the DIO IAC.",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,26677,0.0,1.0,0,0,0,Finance,Post now also includes Hd of Secretariat duties,1
6,26667,N/D,SCS1,Head of Strategic Asset Management ,"Accountable to Director Strategic Asset Management and Programming Team (DSAPT) and responsible for the identification, pan-MOD, of infrastructure rationalisation opportunities, the improvement of utilisation, increase of commercialisation of infrastructure assets and driving down the overall cost of ownership of the estate. Accountable for the DIO TLB Strategy and Command Plan, infrastructure related policy and to support CE as MOD’s Sustainable Development Process Owner.",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,1683968,0.0,1.0,0,0,0,Property and asset management,,1
7,126455,N/D,SCS1,Head of Service Delivery Overseas,Accountable to Director Service Delivery (DSD) and responsible for the delivery of DIO services Overseas. Responsible for managing relationships with key users and suppliers in order to ensure performance is optimised. Member of the SDC.,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,149394,0.0,1.0,0,0,0,Operational Delivery,,1
8,136627,N/D,SCS1,Head of Operations Development and Coherence,"Accountable to CE for the delivery of Operations Development Coherency functions, ensuring development of whole estate solutions, delivery of the programme; informing the future programme, and to facilitate appropriate SAPT and TLB interfaces. Timely production and submission of required investment business cases to the DIO IAC for the scrutiny and approvals process. Member of the ECIB and SDC.",Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,26677,0.0,1.0,0,0,0,Property and asset management,Previous postion number given as 199354,1
9,184198,N/D,SCS1,Head of Unarmed Guarding,Accountable to DSD and responsible for the MOD Guard Service (MGS) whose role is to provide unarmed guarding and access control services to MOD sites across the UK.,Ministry of Defence,Ministry of Defence,Defence Infrastructure Organisation,0121 311 2140,DIO Sec-Groupmailbox@mod.uk,149394,0.0,1.0,0,0,0,Operational Delivery,,1
