,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,7587174,Sir Andrew Dillon,SCS3,Chief Executive,The Chief Executive is responsible for the strategic leadership of NICE. NICE's role is to provide national guidance and advice to improve outcomes for people using the NHS and other public health and social care services.,Department of Health,National Institute for Health and Care Excellence,Chief Exec,0845 003 7780,nice@nice.org.uk,XX,0.0,1.0,185000,189999,0,Policy,,1
1,7547856-2,Dr Gillian Leng,SCS2,Deputy Chief Exec and Health and Social Care Director,"The Deputy Chief Executive and Health and Social Care Director, is responsible for leading the management of NICE in the absence of the Chief Executive, and has overall responsibility for the Health and Social Care Directorate. This directorate provides a range of services including the Health and Social Care Quality Programme and implementation support for NICE guidance.",Department of Health,National Institute for Health and Care Excellence,Health and Social Care,0845 003 7780,nice@nice.org.uk,7587174,1067021.0,1.0,175000,179999,0,Medicine,,1
2,7442603,Professor Mark Baker,SCS2,Centre for Clinical Practice Director,"The Centre for Clinical Practice Director is responsible for leading the development of guidelines and quality standards on a wide range of clinical topics aimed primarily at those working in the NHS, local authorities but also of relevance to the wider public, private and voluntary sectors. The Director is also responsible for the Medicines and Prescribing Centre.",Department of Health,National Institute for Health and Care Excellence,Centre for Clinical Practice,0845 003 7780,nice@nice.org.uk,7587174,0.0,0.95,120000,124999,0,Medicine,,1
3,7378615,Professor Carole Longson,SCS2,Centre for Health Technology Evaluation Director,"The Centre for Health Technology Evaluation Director is responsible for leading the development of national guidance to the NHS on the use of new and existing medicines, treatments, medical technologies, diagnostics and procedures.",Department of Health,National Institute for Health and Care Excellence,Centre for Health Technology Evaluation,0845 003 7780,nice@nice.org.uk,7587174,647389.0,1.0,125000,129999,0,Medicine,,1
4,7587161,Mr. Ben Bennett,SCS2,Business Planning and Resources Director,"The Business Planning and Resources Director is responsible for  finance, business planning,human resources, estates, corporate governance and IT services for NICE.",Department of Health,National Institute for Health and Care Excellence,Business Planning and Resources,0845 003 7780,nice@nice.org.uk,7587174,1493085.0,1.0,120000,124999,0,Finance,,1
5,7552689,Professor Michael Kelly,SCS2,Centre for Public Health Excellence Director,"The Centre for Public Health Excellence Director is responsible for leading the development of guidance on public health topics for those working in the NHS, local authorities and the wider public, private and voluntary sectors.",Department of Health,National Institute for Health and Care Excellence,Centre for Public Health Excellence,0845 003 7780,nice@nice.org.uk,7587174,1637717.0,1.0,105000,109999,0,Social Research,,1
6,7456276,Ms. Jane Gizbert,SCS2,Communications Director,"The Communications Director is responsible for ensuring that all those with an interest in the work of NICE understand its role and responsibilities and for contributing to the core work of producing guidance through the editing, distribution and promotion processes. The Communications Director is responsible for media relations; external communications, including NICE website, events and exhibitions, public affairs and stakeholder relations; enquiry handling; internal communications; and editorial and publishing.",Department of Health,National Institute for Health and Care Excellence,Communications,0845 003 7780,nice@nice.org.uk,7587174,2604348.0,1.0,105000,109999,0,Communications,,1
7,11048791,Ms. Alexia Tonnel,SCS2,Evidence Resources Director,"The Evidence Resources Director is responsible for the delivery of the NICE Evidence and UK PharmaScan services and leads the information management and technology, user research and information services resources of NICE.",Department of Health,National Institute for Health and Care Excellence,Evidence Resources,0845 003 7780,nice@nice.org.uk,7587174,874891.0,1.0,115000,119999,0,Knowledge and Information Management (KIM),,1
8,5772184,N/D,SCS1,Engagement and Management Programme Director,"The Engagement and Management Programme Director is responsible for  ensuring that people are aware of the NICE Evidence Services through external communications work, and that user needs are evaluated and inform the development of the service.",Department of Health,National Institute for Health and Care Excellence,Engagement and Management,0845 003 7780,nice@nice.org.uk,11048791,685054.0,1.0,0,0,0,Programme and Project Management (PPM),Salaries of staff at SCS1 or equivalent are not disclosed,1
9,7378802,N/D,SCS1,Technology Appraisals Programme Director,"The Technology Appraisals Programme Director and the Patient Access Schemes Liaison Unit is responsible for leading the development of guidance on the use of new and existing medicines and treatments in the NHS, and for providing advice on the feasibility of implementing patient access schemes.",Department of Health,National Institute for Health and Care Excellence,Appraisals,0845 003 7780,nice@nice.org.uk,7378615,2537711.0,1.0,0,0,0,Science and Engineering,Salaries of staff at SCS1 or equivalent are not disclosed,1
