,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,1,Jane Ellis,SCS2,Director of Finance,Manage Finance and Risk Management,"Department for Culture, Media and Sport",Science Museum Group,Finance,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,16,912632.0,1.0,90000,94999,0,Finance,,1
1,2,Paul Kirkman,SCS2,Director - National Railway Museum,Manage Creative Offer for National Railway Museum,"Department for Culture, Media and Sport",Science Museum Group,National Railway Museum,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,6,1130026.0,1.0,95000,99999,0,Operational Delivery,,1
2,3,Adele McAllister,SCS2,Director Of HR,Manage HR and ICT ,"Department for Culture, Media and Sport",Science Museum Group,HR & ICT,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,16,1239679.0,1.0,85000,89999,0,Human Resources,Corporate Information moved to Science Museum unit,1
3,4,Eliminated,SCS2,Director - National Media Museum,Manage Creative Offer for National Media Museum,"Department for Culture, Media and Sport",Science Museum Group,National Media Museum,,Executive.SMG@sciencemuseum.ac.uk,6,0.0,1.0,95000,99999,0,,Role has changed to Head of Media Museum,1
4,5,Eliminated,SCS2,Director of Science Museum,Manage Creative Offer for ScM,"Department for Culture, Media and Sport",Science Museum Group,Science Museum,,Executive.SMG@sciencemuseum.ac.uk,6,0.0,0.8,95000,99999,0,,,1
5,6,Ian Blatchford,SCS3,Director of SMG and Science Museum,Provide direction and leadership for Science Museum Group,"Department for Culture, Media and Sport",Science Museum Group,Director's Office,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,XX,0.0,1.0,130000,134999,0,Policy,Salary cost of reports merged with Science Museum,1
6,7,Eliminated,SCS2,Acting Director of Corporate Services,Manage Estates and Major Projects Functions,"Department for Culture, Media and Sport",Science Museum Group,Corporate Services,,Executive.SMG@sciencemuseum.ac.uk,6,0.0,1.0,60000,64999,0,Property and asset management,Estates and Major Projects now comes under Masterplan and Estates,1
7,8,Alex Burch,SCS2,Director of Learning,Manage Learning Offer for SMG,"Department for Culture, Media and Sport",Science Museum Group,Learning,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,6,2424532.0,1.0,75000,79999,0,Operational Delivery,,1
8,9,Susan Fisher,SCS2,Director of Development,Manage Development and Fundraising fuction,"Department for Culture, Media and Sport",Science Museum Group,Development,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,6,1028299.0,1.0,100000,104999,0,Operational Research,,1
9,10,Eliminated,SCS2,Director of Change Management,Mange Change Programme within SMG,"Department for Culture, Media and Sport",Science Museum Group,Director's Office,,Executive.SMG@sciencemuseum.ac.uk,6,0.0,1.0,85000,89999,0,,,1
10,11,Eliminated,SCS2,Managing Director of NMSI Enterprises,Manage Commercial Offer,"Department for Culture, Media and Sport",Science Museum Group,SCMG Enterprises,,Executive.SMG@sciencemuseum.ac.uk,6,0.0,1.0,105000,109999,0,,Role has changed to Chief Operating Officer,1
11,12,Heather Mayfield,SCS2,Deputy Director - Science Museum,Manage Creative Delivery for Science Museum and National Media Museum,"Department for Culture, Media and Sport",Science Museum Group,Science Museum,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,6,3636044.0,1.0,90000,94999,0,Operational Delivery,,1
12,13,Roger Highfield,SCS2,Director of External Affairs,"Manage communications, marketing and external affairs","Department for Culture, Media and Sport",Science Museum Group,External Affairs,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,6,930247.0,0.8,80000,84999,0,Communications,,1
13,14,Karen Livingstone,SCS2,Director of Masterplan and Estates,Manage Masterplan and Estates,"Department for Culture, Media and Sport",Science Museum Group,Masterplan and Estates,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,6,1516455.0,1.0,75000,79999,0,Property and asset management,,1
14,15,Jean Franczyk,SCS2,"Director - Museum of Science and Industry, Manchester",Manage MOSI,"Department for Culture, Media and Sport",Science Museum Group,Museum of Science and Industry,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,6,1675659.0,1.0,100000,104999,0,Operational Delivery,,1
15,16,Jonathan Newby,SCS2,Chief Operating Officer,Manage Commercial Offer and Corporate Functions,"Department for Culture, Media and Sport",Science Museum Group,SCMG Enterprises,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,6,3919787.0,1.0,115000,119999,0,Operational Delivery,,1
16,17,Jo Quinton-Tulloch,SCS2,Director - National Media Museum,Manage Creative Offer for National Media Museum,"Department for Culture, Media and Sport",Science Museum Group,National Media Museum,0207 942 4003,Executive.SMG@sciencemuseum.ac.uk,6,989958.0,1.0,95000,99999,0,Operational Delivery,Role has changed from Head of Media Museum,1
