,Post Unique Reference,Name,Grade,Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),,Professional/Occupational Group,Notes,Valid?
0,P1683,Swales James Dr.,SCS1,Accredited Medical Assessor,Assessor,Department of Health,MHRA,Licensing,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1682,0.0,1.0,0,0,0,Other,,1
1,P1054,Hudson Ian Dr.,SCS2,Chief Executive,Operational Delivery,Department of Health,MHRA,Directorate,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,XX,0.0,1.0,80000,84999,150000,Operational Delivery,,1
2,P1702,Commins Peter Mr.,SCS2,Chief Operating Officer,Operational Delivery,Department of Health,MHRA,Ops and Finance,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1054,0.0,1.0,80000,84999,0,Operational Delivery,,1
3,P1703,Humphreys Richard Mr.,SCS1,Deputy Director,Finance,Department of Health,MHRA,Ops and Finance,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1702,535029.63,1.0,0,0,0,Finance,,1
4,P3540,Parkinson John Dr.,SCS1,Director,Operational Delivery,Department of Health,MHRA,CPRD,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1702,461853.63,1.0,0,0,0,Operational Delivery,,1
5,P1296,Davis Alison Mrs.,SCS1,Director,Operational Delivery,Department of Health,MHRA,IMD,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1054,771544.5,1.0,0,0,0,Operational Delivery,,1
6,P1000,Billan Joanna Ms.,SCS1,Director,Operational Delivery,Department of Health,MHRA,HR,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1054,895371.74,0.94,0,0,0,Operational Delivery,,1
7,P1034,Bosworth Rachel Ms.,SCS1,Director,Operational Delivery,Department of Health,MHRA,Comms ,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1054,570783.41,1.0,0,0,0,Operational Delivery,,1
8,P1000,Starling Rebecca Mrs.,SCS1,Director,Operational Delivery,Department of Health,MHRA,HR,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1702,0.0,1.0,0,0,0,Operational Delivery,,1
9,P1787,Raine June Dr.,SCS2,Director,Operational Delivery,Department of Health,MHRA,VRMM,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1054,0.0,1.0,80000,84999,0,Operational Delivery,,1
10,P1070,Heddell Gerald Mr.,SCS2,Director,Operational Delivery,Department of Health,MHRA,IE&S,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1054,0.0,1.0,80000,84999,0,Operational Delivery,,1
11,P1760,Mogford Jonathan Mr.,SCS2,Director,Operational Delivery,Department of Health,MHRA,Policy,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1054,0.0,1.0,80000,84999,0,Operational Delivery,,1
12,P2096,Wilkinson John Mr.,SCS2,Director,Operational Delivery,Department of Health,MHRA,Devices,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1054,0.0,1.0,80000,84999,0,Operational Delivery,,1
13,P1414,Lam Siu Dr.,SCS2,Director,Operational Delivery,Department of Health,MHRA,Licensing,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1054,0.0,1.0,80000,84999,0,Operational Delivery,,1
14,P3100,Inglis Stephen Dr.,SCS2,Director of NIBSC,Other,Department of Health,MHRA,NIBSC,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1054,0.0,1.0,80000,84999,161657,Other,,1
15,P3060,Ord Kathryn Dr.,SCS1,Expert Assessor,Assessor,Department of Health,MHRA,VRMM,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1796,131040.0,1.0,0,0,0,Other,,1
16,P1639,Jones Sean Mr.,SCS1,Expert Assessor,Assessor,Department of Health,MHRA,Licensing,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1644,0.0,1.0,0,0,0,Other,,1
17,P1073,Francis Gail Mrs.,SCS1,Expert GCP Inspector,Inspector,Department of Health,MHRA,IE&S,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1078,0.0,1.0,0,0,0,Other,,1
18,P1075,Thrussell Ian Mr.,SCS1,Expert GMP Inspector,Inspector,Department of Health,MHRA,IE&S,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1091,0.0,1.0,0,0,0,Other,,1
19,P1075,Churchward David Mr.,SCS1,Expert GMP Inspector,Inspector,Department of Health,MHRA,IE&S,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1091,0.0,1.0,0,0,0,Other,,1
20,P1074,Andrews Richard Mr.,SCS1,Expert GMP Inspector,Inspector,Department of Health,MHRA,IE&S,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1091,0.0,1.0,0,0,0,Other,,1
21,P1076,Rees David Mr.,SCS1,Expert Inspector,Inspector,Department of Health,MHRA,IE&S,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1091,0.0,1.0,0,0,0,Other,,1
22,P3583,Morgan Susan Dr.,SCS1,Expert Medical Assessor,Assessor,Department of Health,MHRA,Licensing,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1663,0.0,0.6,0,0,0,Other,,1
23,P1901,Williams Gail Mrs.,SCS1,Expert Pharmaceutical Assessor,Assessor,Department of Health,MHRA,VRMM,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1902,0.0,0.59,0,0,0,Other,,1
24,P1875,Ambrose Anne Ms.,SCS1,Expert Pharmaceutical Assessor,Assessor,Department of Health,MHRA,VRMM,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1793,0.0,1.0,0,0,0,Other,,1
25,P3409,Dash Malcolm Mr.,SCS1,Expert Pharmaceutical Assessor & Deputy Unit Manager,Assessor,Department of Health,MHRA,Licensing,020 3080 6234,hr-enquiries@mhra.gsi.gov.uk,P1682,584988.93,1.0,0,0,0,Other,,1
